"area label","area long label","area","Employees - Arts development and support"
"area label","area long label","area","6233"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP (000)"
"area label","area long label","area","raw"
"Devon","Devon (County)","E10000008","0"
"Adur","Adur (District)","E07000223","0"
"Amber Valley","Amber Valley (District)","E07000032","0"
"Arun","Arun (District)","E07000224","0"
"Ashfield","Ashfield (District)","E07000170","0"
"Ashford","Ashford (District)","E07000105","181"
"Babergh","Babergh (District)","E07000200","Missing"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","345"
"Barnet","Barnet (London borough)","E09000003","0"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","22"
"Basildon","Basildon (District)","E07000066","0"
"Basingstoke and Deane","Basingstoke and Deane (District)","E07000084","0"
"Bassetlaw","Bassetlaw (District)","E07000171","0"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","0"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","0"
"Bexley","Bexley (London borough)","E09000004","0"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","Missing"
"Blaby","Blaby (District)","E07000129","0"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","0"
"Blackpool","Blackpool (Unitary)","E06000009","154"
"Bolsover","Bolsover (District)","E07000033","0"
"Bolton","Bolton (Metropolitan borough)","E08000001","0"
"Boston","Boston (District)","E07000136","2"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","241"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","0"
"Bradford","Bradford (Metropolitan borough)","E08000032","629"
"Braintree","Braintree (District)","E07000067","0"
"Breckland","Breckland (District)","E07000143","0"
"Brent","Brent (London borough)","E09000005","95"
"Brentwood","Brentwood (District)","E07000068","Missing"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","606"
"Bristol","Bristol (Unitary)","E06000023","745"
"Broadland","Broadland (District)","E07000144","0"
"Bromley","Bromley (London borough)","E09000006","0"
"Bromsgrove","Bromsgrove (District)","E07000234","0"
"Broxbourne","Broxbourne (District)","E07000095","0"
"Broxtowe","Broxtowe (District)","E07000172","120"
"Buckinghamshire","Buckinghamshire (Unitary)","E06000060","0"
"Burnley","Burnley (District)","E07000117","0"
"Bury","Bury (Metropolitan borough)","E08000002","4"
"Calderdale","Calderdale (Metropolitan borough)","E08000033","119"
"Cambridge","Cambridge (District)","E07000008","Missing"
"Cambridgeshire","Cambridgeshire (County)","E10000003","0"
"Camden","Camden (London borough)","E09000007","332"
"Cannock Chase","Cannock Chase (District)","E07000192","Missing"
"Canterbury","Canterbury (District)","E07000106","0"
"Castle Point","Castle Point (District)","E07000069","Missing"
"Central Bedfordshire","Central Bedfordshire (Unitary)","E06000056","0"
"Charnwood","Charnwood (District)","E07000130","63"
"Chelmsford","Chelmsford (District)","E07000070","84"
"Cheltenham","Cheltenham (District)","E07000078","0"
"Cherwell","Cherwell (District)","E07000177","76"
"Cheshire East","Cheshire East (Unitary)","E06000049","292"
"Cheshire West and Chester","Cheshire West and Chester (Unitary)","E06000050","177"
"Chesterfield","Chesterfield (District)","E07000034","0"
"Chichester","Chichester (District)","E07000225","0"
"Chorley","Chorley (District)","E07000118","0"
"City of London","City of London (London borough)","E09000001","0"
"Colchester","Colchester (District)","E07000071","Missing"
"Cornwall","Cornwall (Unitary)","E06000052","6"
"Cotswold","Cotswold (District)","E07000079","0"
"Coventry","Coventry (Metropolitan borough)","E08000026","367"
"Crawley","Crawley (District)","E07000226","51"
"Croydon","Croydon (London borough)","E09000008","0"
"Cumberland","Cumberland (Unitary)","E06000063","0"
"Dacorum","Dacorum (District)","E07000096","0"
"Darlington","Darlington (Unitary)","E06000005","129"
"Dartford","Dartford (District)","E07000107","0"
"Derby","Derby (Unitary)","E06000015","638"
"Derbyshire","Derbyshire (County)","E10000007","58"
"Derbyshire Dales","Derbyshire Dales (District)","E07000035","0"
"Doncaster","Doncaster (Metropolitan borough)","E08000017","0"
"Dorset","Dorset (Unitary)","E06000059","102"
"Dover","Dover (District)","E07000108","0"
"Dudley","Dudley (Metropolitan borough)","E08000027","57"
"Durham","Durham (Unitary)","E06000047","239"
"Ealing","Ealing (London borough)","E09000009","92"
"East Cambridgeshire","East Cambridgeshire (District)","E07000009","0"
"East Devon","East Devon (District)","E07000040","185"
"East Hampshire","East Hampshire (District)","E07000085","0"
"East Hertfordshire","East Hertfordshire (District)","E07000242","0"
"East Lindsey","East Lindsey (District)","E07000137","57"
"East Riding of Yorkshire","East Riding of Yorkshire (Unitary)","E06000011","173"
"East Staffordshire","East Staffordshire (District)","E07000193","11"
"East Suffolk","East Suffolk (District)","E07000244","0"
"East Sussex","East Sussex (County)","E10000011","69"
"Eastbourne","Eastbourne (District)","E07000061","0"
"Eastleigh","Eastleigh (District)","E07000086","74"
"Elmbridge","Elmbridge (District)","E07000207","39"
"Enfield","Enfield (London borough)","E09000010","0"
"Epping Forest","Epping Forest (District)","E07000072","0"
"Epsom and Ewell","Epsom and Ewell (District)","E07000208","0"
"Erewash","Erewash (District)","E07000036","32"
"Essex","Essex (County)","E10000012","55"
"Exeter","Exeter (District)","E07000041","0"
"Fareham","Fareham (District)","E07000087","0"
"Fenland","Fenland (District)","E07000010","45"
"Folkestone and Hythe","Folkestone and Hythe (District)","E07000112","0"
"Forest of Dean","Forest of Dean (District)","E07000080","0"
"Fylde","Fylde (District)","E07000119","27"
"Gateshead","Gateshead (Metropolitan borough)","E08000037","144"
"Gedling","Gedling (District)","E07000173","60"
"Gloucester","Gloucester (District)","E07000081","1,028"
"Gloucestershire","Gloucestershire (County)","E10000013","0"
"Gosport","Gosport (District)","E07000088","0"
"Gravesham","Gravesham (District)","E07000109","155"
"Great Yarmouth","Great Yarmouth (District)","E07000145","85"
"Greenwich","Greenwich (London borough)","E09000011","0"
"Guildford","Guildford (District)","E07000209","0"
"Hackney","Hackney (London borough)","E09000012","464"
"Halton","Halton (Unitary)","E06000006","0"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","153"
"Hampshire","Hampshire (County)","E10000014","18"
"Harborough","Harborough (District)","E07000131","0"
"Haringey","Haringey (London borough)","E09000014","147"
"Harlow","Harlow (District)","E07000073","1"
"Harrow","Harrow (London borough)","E09000015","768"
"Hart","Hart (District)","E07000089","0"
"Hartlepool","Hartlepool (Unitary)","E06000001","0"
"Hastings","Hastings (District)","E07000062","0"
"Havant","Havant (District)","E07000090","12"
"Havering","Havering (London borough)","E09000016","3"
"Herefordshire","Herefordshire (Unitary)","E06000019","0"
"Hertfordshire","Hertfordshire (County)","E10000015","438"
"Hertsmere","Hertsmere (District)","E07000098","0"
"High Peak","High Peak (District)","E07000037","0"
"Hillingdon","Hillingdon (London borough)","E09000017","799"
"Hinckley and Bosworth","Hinckley and Bosworth (District)","E07000132","0"
"Horsham","Horsham (District)","E07000227","0"
"Hounslow","Hounslow (London borough)","E09000018","53"
"Huntingdonshire","Huntingdonshire (District)","E07000011","0"
"Hyndburn","Hyndburn (District)","E07000120","0"
"Ipswich","Ipswich (District)","E07000202","0"
"Isle of Wight","Isle of Wight (Unitary)","E06000046","0"
"Isles of Scilly","Isles of Scilly (Unitary)","E06000053","1"
"Islington","Islington (London borough)","E09000019","290"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","137"
"Kent","Kent (County)","E10000016","375"
"King's Lynn and West Norfolk","King's Lynn and West Norfolk (District)","E07000146","0"
"Kingston upon Hull","Kingston upon Hull (Unitary)","E06000010","273"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","208"
"Kirklees","Kirklees (Metropolitan borough)","E08000034","191"
"Knowsley","Knowsley (Metropolitan borough)","E08000011","361"
"Lambeth","Lambeth (London borough)","E09000022","1,112"
"Lancashire","Lancashire (County)","E10000017","399"
"Lancaster","Lancaster (District)","E07000121","0"
"Leeds","Leeds (Metropolitan borough)","E08000035","1,905"
"Leicester","Leicester (Unitary)","E06000016","888"
"Leicestershire","Leicestershire (County)","E10000018","0"
"Lewes","Lewes (District)","E07000063","0"
"Lewisham","Lewisham (London borough)","E09000023","241"
"Lichfield","Lichfield (District)","E07000194","0"
"Lincoln","Lincoln (District)","E07000138","0"
"Lincolnshire","Lincolnshire (County)","E10000019","0"
"Liverpool","Liverpool (Metropolitan borough)","E08000012","1,623"
"Luton","Luton (Unitary)","E06000032","0"
"Maidstone","Maidstone (District)","E07000110","12"
"Maldon","Maldon (District)","E07000074","195"
"Malvern Hills","Malvern Hills (District)","E07000235","0"
"Manchester","Manchester (Metropolitan borough)","E08000003","111"
"Mansfield","Mansfield (District)","E07000174","0"
"Medway","Medway (Unitary)","E06000035","129"
"Melton","Melton (District)","E07000133","0"
"Merton","Merton (London borough)","E09000024","0"
"Mid Devon","Mid Devon (District)","E07000042","0"
"Mid Suffolk","Mid Suffolk (District)","E07000203","Missing"
"Mid Sussex","Mid Sussex (District)","E07000228","0"
"Middlesbrough","Middlesbrough (Unitary)","E06000002","22"
"Milton Keynes","Milton Keynes (Unitary)","E06000042","126"
"Mole Valley","Mole Valley (District)","E07000210","0"
"New Forest","New Forest (District)","E07000091","0"
"Newark and Sherwood","Newark and Sherwood (District)","E07000175","118"
"Newcastle upon Tyne","Newcastle upon Tyne (Metropolitan borough)","E08000021","220"
"Newcastle-under-Lyme","Newcastle-under-Lyme (District)","E07000195","0"
"Newham","Newham (London borough)","E09000025","355"
"Norfolk","Norfolk (County)","E10000020","110"
"North Devon","North Devon (District)","E07000043","0"
"North East Derbyshire","North East Derbyshire (District)","E07000038","0"
"North East Lincolnshire","North East Lincolnshire (Unitary)","E06000012","0"
"North Hertfordshire","North Hertfordshire (District)","E07000099","0"
"North Kesteven","North Kesteven (District)","E07000139","17"
"North Lincolnshire","North Lincolnshire (Unitary)","E06000013","97"
"North Norfolk","North Norfolk (District)","E07000147","0"
"North Northamptonshire","North Northamptonshire (Unitary)","E06000061","111"
"North Somerset","North Somerset (Unitary)","E06000024","0"
"North Tyneside","North Tyneside (Metropolitan borough)","E08000022","30"
"North Warwickshire","North Warwickshire (District)","E07000218","0"
"North West Leicestershire","North West Leicestershire (District)","E07000134","Missing"
"North Yorkshire","North Yorkshire (Unitary)","E06000065","894"
"Northumberland","Northumberland (Unitary)","E06000057","0"
"Norwich","Norwich (District)","E07000148","0"
"Nottingham","Nottingham (Unitary)","E06000018","71"
"Nottinghamshire","Nottinghamshire (County)","E10000024","0"
"Nuneaton and Bedworth","Nuneaton and Bedworth (District)","E07000219","7"
"Oadby and Wigston","Oadby and Wigston (District)","E07000135","0"
"Oldham","Oldham (Metropolitan borough)","E08000004","85"
"Oxford","Oxford (District)","E07000178","161"
"Oxfordshire","Oxfordshire (County)","E10000025","104"
"Pendle","Pendle (District)","E07000122","Missing"
"Peterborough","Peterborough (Unitary)","E06000031","0"
"Plymouth","Plymouth (Unitary)","E06000026","0"
"Portsmouth","Portsmouth (Unitary)","E06000044","433"
"Preston","Preston (District)","E07000123","0"
"Reading","Reading (Unitary)","E06000038","14"
