"area label","area long label","area","Total expenditure on arts, tourism, & the historic environment per head"
"area label","area long label","area","23125"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP per person"
"area label","area long label","area","raw"
"East Sussex","East Sussex (County)","E10000011","0"
"Cambridgeshire","Cambridgeshire (County)","E10000003","1"
"Derbyshire","Derbyshire (County)","E10000007","2"
"Devon","Devon (County)","E10000008","0"
"Essex","Essex (County)","E10000012","0"
"Gloucestershire","Gloucestershire (County)","E10000013","0"
"Hampshire","Hampshire (County)","E10000014","0"
"Hertfordshire","Hertfordshire (County)","E10000015","2"
"Kent","Kent (County)","E10000016","2"
"Lancashire","Lancashire (County)","E10000017","1"
"Leicestershire","Leicestershire (County)","E10000018","2"
"Lincolnshire","Lincolnshire (County)","E10000019","6"
"Norfolk","Norfolk (County)","E10000020","1"
"Nottinghamshire","Nottinghamshire (County)","E10000024","2"
"Oxfordshire","Oxfordshire (County)","E10000025","0"
"Staffordshire","Staffordshire (County)","E10000028","1"
"Suffolk","Suffolk (County)","E10000029","1"
"Surrey","Surrey (County)","E10000030","2"
"Warwickshire","Warwickshire (County)","E10000031","2"
"West Sussex","West Sussex (County)","E10000032","0"
"Worcestershire","Worcestershire (County)","E10000034","6"
