"area label","area long label","area","Total Income - Arts development and support"
"Gedling","Gedling (District)","E07000173","0"
"Gloucester","Gloucester (District)","E07000081","576"
"Gloucestershire","Gloucestershire (County)","E10000013","0"
"Gosport","Gosport (District)","E07000088","0"
"Gravesham","Gravesham (District)","E07000109","245"
"Great Yarmouth","Great Yarmouth (District)","E07000145","349"
"Greenwich","Greenwich (London borough)","E09000011","25"
"Guildford","Guildford (District)","E07000209","0"
"Hackney","Hackney (London borough)","E09000012","3"
"Halton","Halton (Unitary)","E06000006","0"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","158"
"Hampshire","Hampshire (County)","E10000014","3"
"Harborough","Harborough (District)","E07000131","0"
"Haringey","Haringey (London borough)","E09000014","27"
"Harlow","Harlow (District)","E07000073","17"
"Harrow","Harrow (London borough)","E09000015","1,337"
"Hart","Hart (District)","E07000089","0"
"Hartlepool","Hartlepool (Unitary)","E06000001","0"
"Hastings","Hastings (District)","E07000062","0"
"Havant","Havant (District)","E07000090","2"
"Havering","Havering (London borough)","E09000016","3"
"Herefordshire","Herefordshire (Unitary)","E06000019","0"
"Hertfordshire","Hertfordshire (County)","E10000015","1,610"
"Hertsmere","Hertsmere (District)","E07000098","0"
"High Peak","High Peak (District)","E07000037","0"
"Hillingdon","Hillingdon (London borough)","E09000017","140"
"Hinckley and Bosworth","Hinckley and Bosworth (District)","E07000132","0"
"Horsham","Horsham (District)","E07000227","0"
"Hounslow","Hounslow (London borough)","E09000018","83"
"Huntingdonshire","Huntingdonshire (District)","E07000011","0"
"Hyndburn","Hyndburn (District)","E07000120","0"
"Ipswich","Ipswich (District)","E07000202","155"
"Isle of Wight","Isle of Wight (Unitary)","E06000046","0"
"Isles of Scilly","Isles of Scilly (Unitary)","E06000053","71"
"Islington","Islington (London borough)","E09000019","653"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","13"
"Kent","Kent (County)","E10000016","322"
"King's Lynn and West Norfolk","King's Lynn and West Norfolk (District)","E07000146","1"
"Kingston upon Hull","Kingston upon Hull (Unitary)","E06000010","6"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","16"
"Kirklees","Kirklees (Metropolitan borough)","E08000034","4"
"Knowsley","Knowsley (Metropolitan borough)","E08000011","54"
"Lambeth","Lambeth (London borough)","E09000022","1,724"
"Lancashire","Lancashire (County)","E10000017","83"
"Lancaster","Lancaster (District)","E07000121","0"
"Leeds","Leeds (Metropolitan borough)","E08000035","2,983"
"Leicester","Leicester (Unitary)","E06000016","1,630"
"Leicestershire","Leicestershire (County)","E10000018","0"
"Lewes","Lewes (District)","E07000063","22"
"Lewisham","Lewisham (London borough)","E09000023","172"
