"area label","area long label","area","Running expenses - Arts development and support"
"area label","area long label","area","6234"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP (000)"
"area label","area long label","area","raw"
"Devon","Devon (County)","E10000008","0"
"Adur","Adur (District)","E07000223","0"
"Amber Valley","Amber Valley (District)","E07000032","0"
"Arun","Arun (District)","E07000224","0"
"Ashfield","Ashfield (District)","E07000170","0"
"Ashford","Ashford (District)","E07000105","289"
"Babergh","Babergh (District)","E07000200","Missing"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","256"
"Barnet","Barnet (London borough)","E09000003","0"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","169"
"Basildon","Basildon (District)","E07000066","10"
"Basingstoke and Deane","Basingstoke and Deane (District)","E07000084","756"
"Bassetlaw","Bassetlaw (District)","E07000171","3"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","0"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","0"
"Bexley","Bexley (London borough)","E09000004","0"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","Missing"
"Blaby","Blaby (District)","E07000129","26"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","23"
"Blackpool","Blackpool (Unitary)","E06000009","398"
"Bolsover","Bolsover (District)","E07000033","0"
"Bolton","Bolton (Metropolitan borough)","E08000001","0"
"Boston","Boston (District)","E07000136","3"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","1,412"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","199"
"Bradford","Bradford (Metropolitan borough)","E08000032","2,536"
"Braintree","Braintree (District)","E07000067","259"
"Breckland","Breckland (District)","E07000143","4"
"Brent","Brent (London borough)","E09000005","496"
"Brentwood","Brentwood (District)","E07000068","Missing"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","1,251"
"Bristol","Bristol (Unitary)","E06000023","736"
"Broadland","Broadland (District)","E07000144","0"
"Bromley","Bromley (London borough)","E09000006","0"
"Bromsgrove","Bromsgrove (District)","E07000234","115"
"Broxbourne","Broxbourne (District)","E07000095","0"
