"area label","area long label","area","Total expenditure on arts, tourism and historic environment"
"area label","area long label","area","6605"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP (000)"
"area label","area long label","area","raw"
"Devon","Devon (County)","E10000008","112"
"Adur","Adur (District)","E07000223","911"
"Amber Valley","Amber Valley (District)","E07000032","186"
"Arun","Arun (District)","E07000224","138"
"Ashfield","Ashfield (District)","E07000170","2"
"Ashford","Ashford (District)","E07000105","645"
"Babergh","Babergh (District)","E07000200","Missing"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","5,194"
"Barnet","Barnet (London borough)","E09000003","0"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","2,617"
"Basildon","Basildon (District)","E07000066","2,492"
"Basingstoke and Deane","Basingstoke and Deane (District)","E07000084","1,497"
"Bassetlaw","Bassetlaw (District)","E07000171","298"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","12,455"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","1,797"
"Bexley","Bexley (London borough)","E09000004","603"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","Missing"
"Blaby","Blaby (District)","E07000129","171"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","4,096"
"Blackpool","Blackpool (Unitary)","E06000009","8,173"
"Bolsover","Bolsover (District)","E07000033","217"
"Bolton","Bolton (Metropolitan borough)","E08000001","1,641"
"Boston","Boston (District)","E07000136","410"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","6,146"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","224"
"Bradford","Bradford (Metropolitan borough)","E08000032","22,031"
"Braintree","Braintree (District)","E07000067","276"
"Breckland","Breckland (District)","E07000143","70"
"Brent","Brent (London borough)","E09000005","922"
"Brentwood","Brentwood (District)","E07000068","Missing"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","11,091"
"Bristol","Bristol (Unitary)","E06000023","3,531"
"Broadland","Broadland (District)","E07000144","9"
"Bromley","Bromley (London borough)","E09000006","1,175"
"Bromsgrove","Bromsgrove (District)","E07000234","115"
"Broxbourne","Broxbourne (District)","E07000095","97"
"Broxtowe","Broxtowe (District)","E07000172","258"
"Buckinghamshire","Buckinghamshire (Unitary)","E06000060","0"
"Burnley","Burnley (District)","E07000117","180"
"Bury","Bury (Metropolitan borough)","E08000002","287"
"Calderdale","Calderdale (Metropolitan borough)","E08000033","2,803"
"Cambridge","Cambridge (District)","E07000008","Missing"
"Cambridgeshire","Cambridgeshire (County)","E10000003","737"
"Camden","Camden (London borough)","E09000007","1,320"
"Cannock Chase","Cannock Chase (District)","E07000192","Missing"
"Canterbury","Canterbury (District)","E07000106","480"
"Castle Point","Castle Point (District)","E07000069","Missing"
