"area label","area long label","area","Total expenditure on arts, tourism, & the historic environment per head"
"Gedling","Gedling (District)","E07000173","5"
"Gloucester","Gloucester (District)","E07000081","23"
"Gloucestershire","Gloucestershire (County)","E10000013","0"
"Gosport","Gosport (District)","E07000088","4"
"Gravesham","Gravesham (District)","E07000109","17"
"Great Yarmouth","Great Yarmouth (District)","E07000145","14"
"Greenwich","Greenwich (London borough)","E09000011","20"
"Guildford","Guildford (District)","E07000209","11"
"Hackney","Hackney (London borough)","E09000012","4"
"Halton","Halton (Unitary)","E06000006","15"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","6"
"Hampshire","Hampshire (County)","E10000014","0"
"Harborough","Harborough (District)","E07000131","0"
"Haringey","Haringey (London borough)","E09000014","5"
"Harlow","Harlow (District)","E07000073","26"
"Harrow","Harrow (London borough)","E09000015","8"
"Hart","Hart (District)","E07000089","0"
"Hartlepool","Hartlepool (Unitary)","E06000001","46"
"Hastings","Hastings (District)","E07000062","27"
"Havant","Havant (District)","E07000090","1"
"Havering","Havering (London borough)","E09000016","4"
"Herefordshire","Herefordshire (Unitary)","E06000019","7"
"Hertfordshire","Hertfordshire (County)","E10000015","2"
"Hertsmere","Hertsmere (District)","E07000098","0"
"High Peak","High Peak (District)","E07000037","14"
"Hillingdon","Hillingdon (London borough)","E09000017","9"
"Hinckley and Bosworth","Hinckley and Bosworth (District)","E07000132","1"
"Horsham","Horsham (District)","E07000227","17"
"Hounslow","Hounslow (London borough)","E09000018","5"
"Huntingdonshire","Huntingdonshire (District)","E07000011","0"
"Hyndburn","Hyndburn (District)","E07000120","0"
"Ipswich","Ipswich (District)","E07000202","54"
"Isle of Wight","Isle of Wight (Unitary)","E06000046","4"
"Isles of Scilly","Isles of Scilly (Unitary)","E06000053","116"
"Islington","Islington (London borough)","E09000019","12"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","27"
"Kent","Kent (County)","E10000016","2"
"King's Lynn and West Norfolk","King's Lynn and West Norfolk (District)","E07000146","12"
"Kingston upon Hull","Kingston upon Hull (Unitary)","E06000010","47"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","11"
"Kirklees","Kirklees (Metropolitan borough)","E08000034","13"
"Knowsley","Knowsley (Metropolitan borough)","E08000011","8"
"Lambeth","Lambeth (London borough)","E09000022","10"
"Lancashire","Lancashire (County)","E10000017","1"
"Lancaster","Lancaster (District)","E07000121","11"
"Leeds","Leeds (Metropolitan borough)","E08000035","21"
"Leicester","Leicester (Unitary)","E06000016","31"
"Leicestershire","Leicestershire (County)","E10000018","2"
"Lewes","Lewes (District)","E07000063","6"
"Lewisham","Lewisham (London borough)","E09000023","11"
"Lichfield","Lichfield (District)","E07000194","5"
"Lincoln","Lincoln (District)","E07000138","12"
"Lincolnshire","Lincolnshire (County)","E10000019","6"
"Liverpool","Liverpool (Metropolitan borough)","E08000012","57"
"Luton","Luton (Unitary)","E06000032","0"
"Maidstone","Maidstone (District)","E07000110","5"
"Maldon","Maldon (District)","E07000074","6"
"Malvern Hills","Malvern Hills (District)","E07000235","12"
"Manchester","Manchester (Metropolitan borough)","E08000003","20"
"Mansfield","Mansfield (District)","E07000174","26"
"Medway","Medway (Unitary)","E06000035","21"
"Melton","Melton (District)","E07000133","4"
"Merton","Merton (London borough)","E09000024","0"
"Mid Devon","Mid Devon (District)","E07000042","0"
"Mid Suffolk","Mid Suffolk (District)","E07000203","Missing"
"Mid Sussex","Mid Sussex (District)","E07000228","8"
"Middlesbrough","Middlesbrough (Unitary)","E06000002","21"
"Milton Keynes","Milton Keynes (Unitary)","E06000042","6"
"Mole Valley","Mole Valley (District)","E07000210","41"
"New Forest","New Forest (District)","E07000091","1"
"Newark and Sherwood","Newark and Sherwood (District)","E07000175","25"
"Newcastle upon Tyne","Newcastle upon Tyne (Metropolitan borough)","E08000021","7"
"Newcastle-under-Lyme","Newcastle-under-Lyme (District)","E07000195","0"
"Newham","Newham (London borough)","E09000025","7"
"Norfolk","Norfolk (County)","E10000020","1"
"North Devon","North Devon (District)","E07000043","2"
"North East Derbyshire","North East Derbyshire (District)","E07000038","0"
"North East Lincolnshire","North East Lincolnshire (Unitary)","E06000012","6"
"North Hertfordshire","North Hertfordshire (District)","E07000099","0"
"North Kesteven","North Kesteven (District)","E07000139","8"
"North Lincolnshire","North Lincolnshire (Unitary)","E06000013","35"
"North Norfolk","North Norfolk (District)","E07000147","9"
"North Northamptonshire","North Northamptonshire (Unitary)","E06000061","18"
"North Somerset","North Somerset (Unitary)","E06000024","2"
"North Tyneside","North Tyneside (Metropolitan borough)","E08000022","8"
"North Warwickshire","North Warwickshire (District)","E07000218","1"
"North West Leicestershire","North West Leicestershire (District)","E07000134","Missing"
"North Yorkshire","North Yorkshire (Unitary)","E06000065","21"
"Northumberland","Northumberland (Unitary)","E06000057","6"
"Norwich","Norwich (District)","E07000148","8"
"Nottingham","Nottingham (Unitary)","E06000018","64"
"Nottinghamshire","Nottinghamshire (County)","E10000024","2"
"Nuneaton and Bedworth","Nuneaton and Bedworth (District)","E07000219","8"
"Oadby and Wigston","Oadby and Wigston (District)","E07000135","0"
"Oldham","Oldham (Metropolitan borough)","E08000004","6"
"Oxford","Oxford (District)","E07000178","3"
"Oxfordshire","Oxfordshire (County)","E10000025","0"
"Pendle","Pendle (District)","E07000122","Missing"
"Peterborough","Peterborough (Unitary)","E06000031","2"
"Plymouth","Plymouth (Unitary)","E06000026","10"
"Portsmouth","Portsmouth (Unitary)","E06000044","17"
"Preston","Preston (District)","E07000123","6"
"Reading","Reading (Unitary)","E06000038","39"
"Redbridge","Redbridge (London borough)","E09000026","2"
"Redcar and Cleveland","Redcar and Cleveland (Unitary)","E06000003","2"
"Redditch","Redditch (District)","E07000236","1"
"Reigate and Banstead","Reigate and Banstead (District)","E07000211","9"
"Ribble Valley","Ribble Valley (District)","E07000124","4"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","14"
"Rochdale","Rochdale (Metropolitan borough)","E08000005","7"
"Rochford","Rochford (District)","E07000075","2"
"Rossendale","Rossendale (District)","E07000125","1"
"Rother","Rother (District)","E07000064","9"
"Rotherham","Rotherham (Metropolitan borough)","E08000018","11"
"Rugby","Rugby (District)","E07000220","4"
"Runnymede","Runnymede (District)","E07000212","1"
"Rushcliffe","Rushcliffe (District)","E07000176","1"
"Rushmoor","Rushmoor (District)","E07000092","18"
"Rutland","Rutland (Unitary)","E06000017","2"
"Salford","Salford (Metropolitan borough)","E08000006","4"
"Sandwell","Sandwell (Metropolitan borough)","E08000028","3"
"Sefton","Sefton (Metropolitan borough)","E08000014","21"
"Sevenoaks","Sevenoaks (District)","E07000111","1"
"Sheffield","Sheffield (Metropolitan borough)","E08000039","4"
"Shropshire","Shropshire (Unitary)","E06000051","22"
"Slough","Slough (Unitary)","E06000039","3"
"Solihull","Solihull (Metropolitan borough)","E08000029","8"
"Somerset","Somerset (Unitary)","E06000066","13"
"South Cambridgeshire","South Cambridgeshire (District)","E07000012","12"
"South Derbyshire","South Derbyshire (District)","E07000039","3"
"South Gloucestershire","South Gloucestershire (Unitary)","E06000025","1"
"South Hams","South Hams (District)","E07000044","0"
"South Holland","South Holland (District)","E07000140","13"
"South Kesteven","South Kesteven (District)","E07000141","18"
"South Norfolk","South Norfolk (District)","E07000149","0"
"South Oxfordshire","South Oxfordshire (District)","E07000179","11"
"South Ribble","South Ribble (District)","E07000126","7"
"South Staffordshire","South Staffordshire (District)","E07000196","1"
"South Tyneside","South Tyneside (Metropolitan borough)","E08000023","15"
"Southampton","Southampton (Unitary)","E06000045","12"
"Southend-on-Sea","Southend-on-Sea (Unitary)","E06000033","6"
"Southwark","Southwark (London borough)","E09000028","3"
"Spelthorne","Spelthorne (District)","E07000213","0"
"St Albans","St Albans (District)","E07000240","12"
"St. Helens","St. Helens (Metropolitan borough)","E08000013","5"
"Stafford","Stafford (District)","E07000197","Missing"
"Staffordshire","Staffordshire (County)","E10000028","1"
"Staffordshire Moorlands","Staffordshire Moorlands (District)","E07000198","4"
"Stevenage","Stevenage (District)","E07000243","0"
"Stockport","Stockport (Metropolitan borough)","E08000007","2"
