"Title","IoS: 90: Creative arts and entertainment activities: 1m on 1m a yr ago growth"
"CDID","S28D"
"Source dataset ID","IOS1"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"2016 JUL","0.7"
"2016 AUG","-7.8"
"2016 SEP","-8.8"
"2016 OCT","-6.2"
"2016 NOV","-5.1"
"2016 DEC","-1.4"
"2017 JAN","10.8"
"2017 FEB","5.0"
"2017 MAR","4.4"
"2017 APR","4.9"
"2017 MAY","4.1"
"2017 JUN","3.9"
"2017 JUL","2.9"
"2017 AUG","11.8"
"2017 SEP","7.8"
"2017 OCT","14.0"
"2017 NOV","5.3"
"2017 DEC","0.0"
"2018 JAN","0.4"
"2018 FEB","6.7"
"2018 MAR","4.7"
"2018 APR","4.5"
"2018 MAY","1.0"
"2018 JUN","1.1"
"2018 JUL","5.9"
"2018 AUG","4.8"
"2018 SEP","3.8"
"2018 OCT","5.5"
"2018 NOV","2.7"
"2018 DEC","9.6"
"2019 JAN","9.4"
"2019 FEB","9.3"
"2019 MAR","6.2"
"2019 APR","6.8"
"2019 MAY","8.5"
"2019 JUN","9.7"
"2019 JUL","8.3"
"2019 AUG","5.1"
"2019 SEP","10.7"
"2019 OCT","2.8"
"2019 NOV","6.1"
"2019 DEC","7.0"
"2020 JAN","5.6"
"2020 FEB","0.9"
"2020 MAR","-21.4"
"2020 APR","-45.8"
"2020 MAY","-57.0"
"2020 JUN","-57.1"
"2020 JUL","-55.0"
"2020 AUG","-50.7"
"2020 SEP","-42.4"
"2020 OCT","-34.8"
"2020 NOV","-28.2"
"2020 DEC","-21.3"
"2021 JAN","-32.8"
"2021 FEB","-35.7"
"2021 MAR","-13.8"
"2021 APR","43.9"
"2021 MAY","83.2"
"2021 JUN","74.0"
"2021 JUL","81.4"
"2021 AUG","80.0"
"2021 SEP","62.0"
"2021 OCT","53.6"
"2021 NOV","42.3"
"2021 DEC","17.3"
"2022 JAN","29.5"
"2022 FEB","41.8"
"2022 MAR","38.4"
"2022 APR","21.8"
"2022 MAY","17.3"
"2022 JUN","17.6"
"2022 JUL","8.7"
"2022 AUG","5.3"
"2022 SEP","2.7"
"2022 OCT","4.4"
"2022 NOV","-4.4"
"2022 DEC","-5.3"
"2023 JAN","2.7"
"2023 FEB","-1.5"
"2023 MAR","5.8"
"2023 APR","1.0"
"2023 MAY","7.5"
"2023 JUN","12.8"
"2023 JUL","13.9"
"2023 AUG","4.9"
"2023 SEP","-5.4"
"2023 OCT","-4.6"
"2023 NOV","-1.1"
"2023 DEC","0.5"
"2024 JAN","7.0"
"2024 FEB","5.9"
"2024 MAR","-8.7"
"2024 APR","1.3"
"2024 MAY","-3.1"
"2024 JUN","-3.3"
"2024 JUL","-10.4"
"2024 AUG","-5.1"
"2024 SEP","-3.9"
"2024 OCT","-12.4"
"2024 NOV","-8.7"
"2024 DEC","-5.7"
"2025 JAN","-12.8"
"2025 FEB","-13.9"
