"Title","Trade in Goods: Works of art (896): EU: Imports: BOP: CVM: SA"
"CDID","SLPM"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"2009 SEP","4"
"2009 OCT","3"
"2009 NOV","3"
"2009 DEC","4"
"2010 JAN","9"
"2010 FEB","10"
"2010 MAR","24"
"2010 APR","3"
"2010 MAY","11"
"2010 JUN","6"
"2010 JUL","28"
"2010 AUG","16"
"2010 SEP","6"
"2010 OCT","26"
"2010 NOV","13"
"2010 DEC","6"
"2011 JAN","6"
"2011 FEB","8"
"2011 MAR","7"
"2011 APR","14"
"2011 MAY","7"
"2011 JUN","59"
"2011 JUL","4"
"2011 AUG","7"
"2011 SEP","39"
"2011 OCT","27"
"2011 NOV","7"
"2011 DEC","41"
"2012 JAN","38"
"2012 FEB","18"
"2012 MAR","13"
"2012 APR","16"
"2012 MAY","8"
"2012 JUN","30"
"2012 JUL","26"
"2012 AUG","9"
"2012 SEP","9"
"2012 OCT","11"
"2012 NOV","13"
"2012 DEC","11"
"2013 JAN","31"
"2013 FEB","27"
"2013 MAR","22"
"2013 APR","15"
"2013 MAY","31"
"2013 JUN","24"
"2013 JUL","50"
"2013 AUG","7"
"2013 SEP","5"
"2013 OCT","6"
"2013 NOV","25"
"2013 DEC","8"
"2014 JAN","5"
"2014 FEB","11"
"2014 MAR","9"
"2014 APR","13"
"2014 MAY","25"
"2014 JUN","9"
"2014 JUL","16"
"2014 AUG","4"
"2014 SEP","13"
"2014 OCT","67"
"2014 NOV","11"
"2014 DEC","3"
"2015 JAN","10"
"2015 FEB","90"
"2015 MAR","18"
"2015 APR","22"
"2015 MAY","18"
"2015 JUN","36"
"2015 JUL","30"
"2015 AUG","23"
"2015 SEP","14"
"2015 OCT","85"
"2015 NOV","28"
"2015 DEC","21"
"2016 JAN","20"
"2016 FEB","15"
"2016 MAR","59"
"2016 APR","27"
"2016 MAY","35"
"2016 JUN","32"
"2016 JUL","79"
"2016 AUG","31"
"2016 SEP","13"
"2016 OCT","32"
"2016 NOV","18"
"2016 DEC","28"
"2017 JAN","9"
"2017 FEB","15"
"2017 MAR","34"
"2017 APR","8"
"2017 MAY","7"
"2017 JUN","39"
"2017 JUL","33"
"2017 AUG","47"
"2017 SEP","25"
"2017 OCT","19"
"2017 NOV","28"
"2017 DEC","25"
"2018 JAN","27"
"2018 FEB","68"
"2018 MAR","35"
"2018 APR","52"
"2018 MAY","37"
"2018 JUN","24"
"2018 JUL","23"
"2018 AUG","27"
"2018 SEP","36"
"2018 OCT","16"
"2018 NOV","16"
"2018 DEC","25"
"2019 JAN","11"
"2019 FEB","19"
"2019 MAR","22"
"2019 APR","28"
"2019 MAY","13"
"2019 JUN","31"
"2019 JUL","41"
"2019 AUG","26"
"2019 SEP","28"
"2019 OCT","35"
"2019 NOV","44"
"2019 DEC","12"
"2020 JAN","28"
"2020 FEB","23"
"2020 MAR","36"
"2020 APR","2"
"2020 MAY","7"
"2020 JUN","65"
"2020 JUL","7"
"2020 AUG","19"
"2020 SEP","15"
"2020 OCT","14"
"2020 NOV","14"
"2020 DEC","40"
"2021 JAN","13"
"2021 FEB","22"
"2021 MAR","20"
"2021 APR","48"
"2021 MAY","46"
"2021 JUN","4"
