"Title","IoS: 90: Creative arts and entertainment activities: 3m on 3m growth"
"CDID","S2D3"
"Source dataset ID","IOS1"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"2016 APR","-3.9"
"2016 MAY","-0.9"
"2016 JUN","2.0"
"2016 JUL","1.6"
"2016 AUG","-1.0"
"2016 SEP","-2.6"
"2016 OCT","-6.4"
"2016 NOV","-2.7"
"2016 DEC","2.3"
"2017 JAN","10.6"
"2017 FEB","9.6"
"2017 MAR","5.1"
"2017 APR","-0.4"
"2017 MAY","-1.1"
"2017 JUN","-0.3"
"2017 JUL","0.5"
"2017 AUG","0.5"
"2017 SEP","0.3"
"2017 OCT","0.4"
"2017 NOV","-0.1"
"2017 DEC","1.0"
"2018 JAN","1.4"
"2018 FEB","3.1"
"2018 MAR","2.9"
"2018 APR","3.0"
"2018 MAY","0.0"
"2018 JUN","-2.0"
"2018 JUL","-2.0"
"2018 AUG","1.0"
"2018 SEP","2.9"
"2018 OCT","2.4"
"2018 NOV","-0.1"
"2018 DEC","2.1"
"2019 JAN","3.8"
"2019 FEB","8.5"
"2019 MAR","5.2"
"2019 APR","3.2"
"2019 MAY","-2.1"
"2019 JUN","-1.9"
"2019 JUL","-0.8"
"2019 AUG","1.5"
"2019 SEP","2.5"
"2019 OCT","-0.1"
"2019 NOV","-1.1"
"2019 DEC","-0.4"
"2020 JAN","3.9"
"2020 FEB","6.4"
"2020 MAR","-5.0"
"2020 APR","-24.0"
"2020 MAY","-45.0"
"2020 JUN","-51.8"
"2020 JUL","-44.6"
"2020 AUG","-20.9"
"2020 SEP","11.1"
"2020 OCT","31.0"
"2020 NOV","40.1"
"2020 DEC","41.8"
"2021 JAN","31.8"
"2021 FEB","15.2"
"2021 MAR","-6.1"
"2021 APR","-6.3"
"2021 MAY","-0.1"
"2021 JUN","11.6"
"2021 JUL","11.0"
"2021 AUG","10.8"
"2021 SEP","16.8"
"2021 OCT","19.7"
"2021 NOV","19.2"
"2021 DEC","11.1"
"2022 JAN","3.5"
"2022 FEB","-2.6"
"2022 MAR","-5.7"
"2022 APR","-3.0"
"2022 MAY","-2.6"
"2022 JUN","-2.7"
"2022 JUL","-4.9"
"2022 AUG","-2.6"
"2022 SEP","3.5"
"2022 OCT","9.0"
"2022 NOV","9.1"
"2022 DEC","3.4"
"2023 JAN","-3.0"
"2023 FEB","-4.8"
"2023 MAR","-1.7"
"2023 APR","1.2"
"2023 MAY","3.5"
"2023 JUN","1.7"
"2023 JUL","4.1"
"2023 AUG","2.7"
"2023 SEP","0.9"
"2023 OCT","-4.0"
"2023 NOV","-4.9"
"2023 DEC","-2.6"
"2024 JAN","0.9"
"2024 FEB","3.3"
"2024 MAR","1.3"
"2024 APR","-1.5"
"2024 MAY","-4.4"
"2024 JUN","-1.3"
"2024 JUL","-1.1"
"2024 AUG","-0.2"
"2024 SEP","-4.1"
"2024 OCT","-5.5"
"2024 NOV","-7.0"
"2024 DEC","-5.1"
"2025 JAN","-1.2"
"2025 FEB","0.5"
