"area label","area long label","area","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months","% of adults who watched a live music/dance event, watched as it was happening in the last 12 months"
"Kirklees","Kirklees (Metropolitan borough)","E08000034","no value","no value","no value","no value","no value","17"
"Knowsley","Knowsley (Metropolitan borough)","E08000011","no value","no value","no value","no value","no value","18"
"Lambeth","Lambeth (London borough)","E09000022","no value","no value","no value","no value","no value","18"
"Lancashire","Lancashire (County)","E10000017","no value","no value","no value","no value","no value","no value"
"Leeds","Leeds (Metropolitan borough)","E08000035","no value","no value","no value","no value","no value","16"
"Leicester","Leicester (Unitary)","E06000016","no value","no value","no value","no value","no value","13"
"Leicestershire","Leicestershire (County)","E10000018","no value","no value","no value","no value","no value","no value"
"Lewisham","Lewisham (London borough)","E09000023","no value","no value","no value","no value","no value","17"
"Lincolnshire","Lincolnshire (County)","E10000019","no value","no value","no value","no value","no value","no value"
"Liverpool","Liverpool (Metropolitan borough)","E08000012","no value","no value","no value","no value","no value","21"
"Luton","Luton (Unitary)","E06000032","no value","no value","no value","no value","no value","17"
"Manchester","Manchester (Metropolitan borough)","E08000003","no value","no value","no value","no value","no value","20"
"Medway","Medway (Unitary)","E06000035","no value","no value","no value","no value","no value","14"
"Merton","Merton (London borough)","E09000024","no value","no value","no value","no value","no value","19"
"Middlesbrough","Middlesbrough (Unitary)","E06000002","no value","no value","no value","no value","no value","15"
"Milton Keynes","Milton Keynes (Unitary)","E06000042","no value","no value","no value","no value","no value","18"
"Newcastle upon Tyne","Newcastle upon Tyne (Metropolitan borough)","E08000021","no value","no value","no value","no value","no value","15"
"Newham","Newham (London borough)","E09000025","no value","no value","no value","no value","no value","14"
"Norfolk","Norfolk (County)","E10000020","no value","no value","no value","no value","no value","no value"
"North East Lincolnshire","North East Lincolnshire (Unitary)","E06000012","no value","no value","no value","no value","no value","21"
"North Lincolnshire","North Lincolnshire (Unitary)","E06000013","no value","no value","no value","no value","no value","15"
"North Northamptonshire","North Northamptonshire (Unitary)","E06000061","no value","no value","no value","no value","no value","19"
"North Somerset","North Somerset (Unitary)","E06000024","no value","no value","no value","no value","no value","19"
"North Tyneside","North Tyneside (Metropolitan borough)","E08000022","no value","no value","no value","no value","no value","17"
"North Yorkshire","North Yorkshire (Unitary)","E06000065","no value","no value","no value","no value","no value","17"
"Northumberland","Northumberland (Unitary)","E06000057","no value","no value","no value","no value","no value","15"
"Nottingham","Nottingham (Unitary)","E06000018","no value","no value","no value","no value","no value","14"
"Nottinghamshire","Nottinghamshire (County)","E10000024","no value","no value","no value","no value","no value","no value"
"Oldham","Oldham (Metropolitan borough)","E08000004","no value","no value","no value","no value","no value","17"
"Oxfordshire","Oxfordshire (County)","E10000025","no value","no value","no value","no value","no value","no value"
"Peterborough","Peterborough (Unitary)","E06000031","no value","no value","no value","no value","no value","14"
"Plymouth","Plymouth (Unitary)","E06000026","no value","no value","no value","no value","no value","19"
"Portsmouth","Portsmouth (Unitary)","E06000044","no value","no value","no value","no value","no value","20"
"Reading","Reading (Unitary)","E06000038","no value","no value","no value","no value","no value","18"
"Redbridge","Redbridge (London borough)","E09000026","no value","no value","no value","no value","no value","11"
"Redcar and Cleveland","Redcar and Cleveland (Unitary)","E06000003","no value","no value","no value","no value","no value","16"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","no value","no value","no value","no value","no value","21"
"Rochdale","Rochdale (Metropolitan borough)","E08000005","no value","no value","no value","no value","no value","18"
"Rotherham","Rotherham (Metropolitan borough)","E08000018","no value","no value","no value","no value","no value","16"
"Rutland","Rutland (Unitary)","E06000017","no value","no value","no value","no value","no value","19"
"Salford","Salford (Metropolitan borough)","E08000006","no value","no value","no value","no value","no value","17"
"Sandwell","Sandwell (Metropolitan borough)","E08000028","no value","no value","no value","no value","no value","16"
"Sefton","Sefton (Metropolitan borough)","E08000014","no value","no value","no value","no value","no value","20"
"Sheffield","Sheffield (Metropolitan borough)","E08000039","no value","no value","no value","no value","no value","16"
"Shropshire","Shropshire (Unitary)","E06000051","no value","no value","no value","no value","no value","19"
"Slough","Slough (Unitary)","E06000039","no value","no value","no value","no value","no value","13"
"Solihull","Solihull (Metropolitan borough)","E08000029","no value","no value","no value","no value","no value","18"
"Somerset","Somerset (Unitary)","E06000066","no value","no value","no value","no value","no value","18"
"South Gloucestershire","South Gloucestershire (Unitary)","E06000025","no value","no value","no value","no value","no value","20"
"South Tyneside","South Tyneside (Metropolitan borough)","E08000023","no value","no value","no value","no value","no value","18"
"Southampton","Southampton (Unitary)","E06000045","no value","no value","no value","no value","no value","18"
"Southend-on-Sea","Southend-on-Sea (Unitary)","E06000033","no value","no value","no value","no value","no value","14"
"Southwark","Southwark (London borough)","E09000028","no value","no value","no value","no value","no value","16"
"St. Helens","St. Helens (Metropolitan borough)","E08000013","no value","no value","no value","no value","no value","21"
"Staffordshire","Staffordshire (County)","E10000028","no value","no value","no value","no value","no value","no value"
"Stockport","Stockport (Metropolitan borough)","E08000007","no value","no value","no value","no value","no value","18"
"Stockton-on-Tees","Stockton-on-Tees (Unitary)","E06000004","no value","no value","no value","no value","no value","15"
"Stoke-on-Trent","Stoke-on-Trent (Unitary)","E06000021","no value","no value","no value","no value","no value","14"
"Suffolk","Suffolk (County)","E10000029","no value","no value","no value","no value","no value","no value"
"Sunderland","Sunderland (Metropolitan borough)","E08000024","no value","no value","no value","no value","no value","14"
"Surrey","Surrey (County)","E10000030","no value","no value","no value","no value","no value","no value"
"Sutton","Sutton (London borough)","E09000029","no value","no value","no value","no value","no value","18"
"Swindon","Swindon (Unitary)","E06000030","no value","no value","no value","no value","no value","15"
"Tameside","Tameside (Metropolitan borough)","E08000008","no value","no value","no value","no value","no value","16"
"Telford and Wrekin","Telford and Wrekin (Unitary)","E06000020","no value","no value","no value","no value","no value","21"
"Thurrock","Thurrock (Unitary)","E06000034","no value","no value","no value","no value","no value","17"
"Torbay","Torbay (Unitary)","E06000027","no value","no value","no value","no value","no value","21"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","no value","no value","no value","no value","no value","13"
"Trafford","Trafford (Metropolitan borough)","E08000009","no value","no value","no value","no value","no value","17"
"Wakefield","Wakefield (Metropolitan borough)","E08000036","no value","no value","no value","no value","no value","15"
"Walsall","Walsall (Metropolitan borough)","E08000030","no value","no value","no value","no value","no value","14"
"Waltham Forest","Waltham Forest (London borough)","E09000031","no value","no value","no value","no value","no value","18"
"Wandsworth","Wandsworth (London borough)","E09000032","no value","no value","no value","no value","no value","18"
"Warrington","Warrington (Unitary)","E06000007","no value","no value","no value","no value","no value","17"
"Warwickshire","Warwickshire (County)","E10000031","no value","no value","no value","no value","no value","no value"
"West Berkshire","West Berkshire (Unitary)","E06000037","no value","no value","no value","no value","no value","14"
"West Northamptonshire","West Northamptonshire (Unitary)","E06000062","no value","no value","no value","no value","no value","19"
"West Sussex","West Sussex (County)","E10000032","no value","no value","no value","no value","no value","no value"
"Westminster","Westminster (London borough)","E09000033","no value","no value","no value","no value","no value","16"
"Westmorland and Furness","Westmorland and Furness (Unitary)","E06000064","no value","no value","no value","no value","no value","16"
"Wigan","Wigan (Metropolitan borough)","E08000010","no value","no value","no value","no value","no value","17"
"Wiltshire","Wiltshire (Unitary)","E06000054","no value","no value","no value","no value","no value","21"
"Windsor and Maidenhead","Windsor and Maidenhead (Unitary)","E06000040","no value","no value","no value","no value","no value","16"
"Wirral","Wirral (Metropolitan borough)","E08000015","no value","no value","no value","no value","no value","19"
"Wokingham","Wokingham (Unitary)","E06000041","no value","no value","no value","no value","no value","18"
"Wolverhampton","Wolverhampton (Metropolitan borough)","E08000031","no value","no value","no value","no value","no value","16"
"Worcestershire","Worcestershire (County)","E10000034","no value","no value","no value","no value","no value","no value"
"York","York (Unitary)","E06000014","no value","no value","no value","no value","no value","15"
