"Title","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Arts, Entertainment & Recreation: Employment Weight","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Public Sector Arts, Entertainment & Recreation: Employment Weight","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Arrears","UK Workforce Jobs SA : R Arts, entertainment & recreation (thousands)","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Total Pay","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Arrears","AWE: Arts, Entertainment & Recreation Index: Non Seasonally Adjusted Regular Pay Including Arrears","AWE: Arts, Entertainment & Recreation Index: Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears","IoS: R: Art, Entertainment and Recreation: Weights","IoS: 90: Creative Arts And Entertainment Activities: Weights","Trade in Goods: Works of art (896): WW: Exports: BOP: CVM: SA","IoS: R: Arts Entertainment and Recreation: Index-1dp","Trade in Goods: Works of art (896): EU: Imports: BOP: CVM: SA","Trade in Goods: Works of art (896): WW: Imports: BOP: CVM: SA","Arts, Entertainment and Recreation (Index 1dp) :CVM SA ","Trade in Goods: Works of art (896): Non-EU: Exports: BOP: CVM: SA","GBServTO: 90 - Creative, arts and entertainment services TOTAL (£m)","IoS: 90: Creative arts and entertainment activities: Index-1dp","Arts, Entertainment and Recreation (period on period contribution) :CVM SA ","Trade in Goods: Works of art (896): EU: Exports: BOP: CVM: SA","Trade in Goods: Works of art (896): Non-EU: Imports: BOP: CVM: SA","IoS: 90: Creative arts and entertainment activities: 3m on 3m growth","Arts, Entertainment and Recreation (period on period growth) :CVM SA ","IoS: R: Arts Entertainment and Recreation: 3m on 3m growth","IoS: R: Arts Entertainment and Recreation: Period on Period Growth","IOP:23.5-6:Man of cement,lime,plaster & art of concrete,cement, plaster:Weight","IoS: 90: Creative arts and entertainment activities: Period on Period Growth","IoS: R: Arts Entertainment and Recreation: 1m on 1m a yr ago growth","Arts, Entertainment and Recreation (3m on 3m 1 year ago contribution) :CVM SA "
"2009 OCT","11","2.0","11","0.1","9","3",,"302","1.6","1.6","1","1","118.4","116.1","0.6","403","1.6","1.9","0.7",,,"141","98.4","3","147","98.4","130","612.5","84.1","0.02","11","144","-4.3","1.2","-1.5","1.2",,"4.0","-5.3","-0.08"
"2009 NOV","14","2.0","14","0.1","19","0",,"314","2.1","2.1","1","2","119.4","120.9","2.1","415","1.8","5.6","5.6",,,"212","94.4","3","109","94.4","202","549.8","73.1","-0.05","9","107","-11.1","-4.1","-3.6","-4.1",,"-13.1","-7.6","-0.09"
"2009 DEC","16","1.9","16","0.1","22","1",,"320","2.3","2.3","4","2","120.3","122.9","1.6","414","1.6","4.1","4.1",,,"174","92.0","4","159","92.0","168","550.3","76.6","-0.03","6","155","-12.5","-2.5","-5.1","-2.5",,"4.7","-9.8","-0.10"
"2010 JAN","14","1.9","14","0.1","17","0",,"324","2.0","2.0","0","4","124.2","124.6","7.9","415","7.8","9.8","9.8",,,"224","94.2","9","108","94.2","214","487.6","82.0","0.03","11","99","-8.0","2.3","-5.0","2.3",,"7.0","-10.3","-0.13"
"2010 FEB","11","1.9","11","0.1","9","0",,"310","1.6","1.6","0","0","121.7","119.1","6.1","412","6.0","5.5","5.6",,,"419","97.7","10","146","97.7","408","494.9","86.6","0.05","11","136","3.0","3.8","-2.1","3.8",,"5.7","-7.0","-0.13"
"2010 MAR","10","2.0","10","0.1","36","0",,"335","1.5","1.5","1","0","121.3","129.0","5.1","409","5.0","10.5","10.6",,,"258","98.3","24","150","98.3","229","606.2","88.1","0.01","27","126","9.8","0.6","1.9","0.6",,"1.7","-2.6","-0.09"
"2010 APR","10","2.0","10","0.1","8","0",,"304","1.5","1.5","1","0","119.8","117.0","2.7","413","0.6","-0.2","1.8",,,"286","95.9","3","123","95.9","218","530.4","84.8","-0.03","65","120","12.1","-2.4","4.1","-2.4",,"-3.7","-10.4","-0.10"
"2010 MAY","11","2.0","11","0.1","9","0",,"307","1.6","1.6","9","0","120.5","117.9","2.8","418","2.8","3.1","3.1",,,"230","97.3","11","134","97.3","223","535.2","86.7","0.02","8","123","5.9","1.4","2.7","1.4",,"2.2","-1.4","-0.07"
"2010 JUN","11","2.0","11","0.1","11","1",,"311","1.6","1.6","11","0","121.3","119.5","0.1","420","0.4","0.0","-0.3",,,"294","95.9","6","181","95.9","273","589.9","87.6","-0.02","20","175","0.9","-1.4","-0.4","-1.4",,"1.1","-2.0","-0.07"
"2010 JUL","11","2.0","11","0.1","10","1",,"322","1.6","1.6","6","2","125.8","123.6","5.7","412","6.1","4.6","4.3",,,"270","100.1","28","148","100.1","239","567.4","83.1","0.06","31","119","-0.8","4.4","0.5","4.4",,"-5.1","-3.0","-0.03"
"2010 AUG","11","2.0","11","0.1","10","0",,"328","1.6","1.6","1","0","128.4","126.1","8.6","414","8.6","9.4","9.4",,,"316","97.2","16","118","97.2","306","506.4","83.6","-0.04","9","102","-2.1","-3.0","0.6","-3.0",,"0.5","-2.6","-0.03"
"2010 SEP","10","2.0","10","0.1","6","0",,"326","1.5","1.5","0","0","129.1","125.1","9.8","416","9.2","9.5","10.0",,,"253","98.1","6","168","98.1","239","569.7","88.8","0.01","14","163","-1.4","0.9","2.2","0.9",,"6.3","0.9","-0.02"
"2010 OCT","10","2.0","10","0.1","5","0",,"317","1.4","1.4","0","0","126.2","121.9","7.7","418","6.6","5.0","6.0",,,"278","95.4","26","167","95.4","261","633.3","84.1","-0.03","17","140","-0.4","-2.7","-0.9","-2.7",,"-5.3","-3.0","-0.02"
"2010 NOV","9","2.0","9","0.1","8","0",,"319","1.3","1.3","0","2","125.8","122.8","5.4","420","5.4","1.6","1.6",,,"344","100.5","13","171","100.5","325","693.3","92.8","0.07","19","159","4.5","5.3","0.3","5.3",,"10.3","6.4","0.02"
"2010 DEC","9","1.9","9","0.1","15","0",,"331","1.3","1.3","2","0","127.7","127.2","6.3","424","6.2","3.5","3.6",,,"544","100.8","6","118","100.8","526","660.8","96.5","0.00","18","112","7.0","0.3","0.4","0.3",,"4.0","9.5","0.05"
"2011 JAN","9","2.0","9","0.1","13","0",,"331","1.3","1.3","2","0","128.6","127.4","3.7","427","3.6","2.2","2.3",,,"321","104.2","6","177","104.2","313","646.1","97.8","0.05","8","172","11.9","3.4","5.1","3.4",,"1.4","10.7","0.12"
"2011 FEB","9","2.0","9","0.1","15","1",,"322","1.3","1.3","0","0","123.8","123.6","1.6","423","1.8","3.8","3.6",,,"456","105.0","8","140","105.0","445","597.7","96.4","0.01","11","131","9.4","0.8","5.5","0.8",,"-1.5","7.5","0.12"
"2011 MAR","9","2.0","9","0.1","23","0",,"333","1.3","1.3","0","0","125.4","128.1","3.5","430","3.4","-0.7","-0.6",,,"255","105.7","7","175","105.7","238","751.1","98.9","0.01","16","168","7.2","0.6","6.1","0.6",,"2.6","7.5","0.12"
"2011 APR","9","2.0","9","0.1","9","0",,"317","1.3","1.3","5","0","124.2","121.7","3.6","433","3.6","4.0","4.0",,,"253","106.2","14","176","106.2","246","610.6","95.8","0.01","8","162","1.4","0.6","3.7","0.6",,"-3.1","10.8","0.12"
"2011 MAY","9","2.1","9","0.1","10","2",,"314","1.4","1.4","29","1","122.9","120.6","1.4","458","1.9","2.3","1.8",,,"314","107.4","7","239","107.4","308","619.3","96.1","0.02","6","232","0.0","1.1","3.0","1.1",,"0.3","10.4","0.13"
"2011 JUN","11","2.0","11","0.1","9","0",,"314","1.6","1.6","3","0","123.4","120.9","2.1","428","1.7","1.1","1.5",,,"249","108.5","59","292","108.5","231","665.8","95.1","0.01","16","232","-2.1","1.0","2.3","1.0",,"-1.0","13.1","0.15"
"2011 JUL","13","2.0","13","0.1","13","0",,"323","1.9","1.9","0","0","125.0","124.1","-0.4","421","-0.7","0.3","0.6",,,"301","105.8","4","309","105.8","283","569.2","84.3","-0.04","19","306","-5.4","-2.5","1.5","-2.5",,"-11.4","5.6","0.13"
"2011 AUG","14","2.1","14","0.1","17","0",,"329","2.0","2.0","4","0","126.0","126.5","-1.9","424","-1.9","0.3","0.3",,,"295","105.2","7","140","105.2","283","502.7","89.1","-0.01","12","133","-7.7","-0.5","0.0","-0.5",,"5.7","8.3","0.12"
"2011 SEP","13","2.1","13","0.1","12","0",,"326","2.0","2.0","0","0","126.8","125.1","-1.8","418","-1.8","0.0","0.0",,,"266","104.5","39","230","104.5","253","603.3","91.5","-0.01","12","191","-7.7","-0.7","-2.1","-0.7",,"2.7","6.6","0.09"
"2011 OCT","12","2.1","12","0.1","5","0",,"315","1.8","1.8","0","0","125.2","121.1","-0.8","419","-0.8","-0.6","-0.6",,,"355","103.2","27","214","103.2","337","686.5","91.2","-0.02","18","187","-1.3","-1.2","-2.7","-1.2",,"-0.3","8.1","0.10"
"2011 NOV","11","2.1","11","0.1","10","0",,"325","1.7","1.7","1","1","127.7","125.1","1.5","423","1.5","1.9","1.9",,,"301","101.1","7","209","101.1","289","674.9","90.3","-0.03","12","203","1.7","-2.1","-3.3","-2.1",,"-1.0","0.6","0.07"
"2011 DEC","10","2.0","10","0.1","14","0",,"341","1.5","1.5","0","0","132.5","131.2","3.7","427","3.7","3.2","3.2",,,"369","100.2","41","231","100.2","357","667.7","88.8","-0.01","12","189","2.1","-0.8","-3.5","-0.8",,"-1.6","-0.6","0.04"
"2012 JAN","9","2.0","9","0.1","16","0",,"345","1.4","1.4","1","0","132.7","132.5","3.2","435","3.2","4.0","4.0",,,"285","98.8","38","168","98.8","269","581.3","90.1","-0.02","15","129","-0.9","-1.4","-4.1","-1.4",,"1.5","-5.2","-0.02"
"2012 FEB","8","2.0","8","0.1","7","0",,"334","1.2","1.2","0","0","132.3","128.5","6.9","463","6.8","4.0","4.1",,,"315","97.8","18","295","97.8","308","559.8","88.4","-0.01","7","278","-2.1","-1.1","-3.9","-1.1",,"-1.9","-6.9","-0.06"
"2012 MAR","9","2.0","9","0.1","27","0",,"343","1.4","1.4","0","0","127.7","131.7","1.9","462","1.9","2.8","2.8",,,"332","96.6","13","294","96.6","298","696.2","86.6","-0.02","33","281","-1.9","-1.2","-3.7","-1.2",,"-2.1","-8.5","-0.10"
"2012 APR","11","2.1","11","0.1","10","1",,"333","1.6","1.6","1","1","130.7","128.2","5.2","463","5.2","5.3","5.3",,,"420","96.7","16","305","96.7","409","633.2","88.3","0.00","10","289","-2.2","0.0","-3.0","0.0",,"1.9","-9.0","-0.12"
"2012 MAY","12","2.1","12","0.1","11","0",,"336","1.8","1.8","44","0","131.7","129.3","7.7","501","7.2","7.2","7.7",,,"354","95.9","8","238","95.9","346","659.2","89.0","-0.01","8","230","-1.3","-0.8","-2.6","-0.8",,"0.8","-10.8","-0.14"
"2012 JUN","11","2.0","11","0.1","25","0",,"365","1.6","1.6","5","0","137.4","140.2","11.3","463","11.3","16.0","15.9",,,"389","96.7","30","225","96.7","376","728.0","88.6","0.01","13","196","0.3","0.9","-1.4","0.9",,"-0.4","-10.8","-0.15"
"2012 JUL","10","2.0","10","0.1","11","1",,"348","1.5","1.5","0","2","136.4","134.0","9.0","461","9.1","8.0","7.9",,,"347","113.3","26","260","113.3","332","779.2","94.3","0.23","15","234","3.2","17.1","5.1","17.1",,"6.4","7.1","-0.07"
"2012 AUG","10","2.1","10","0.1","10","0",,"361","1.5","1.5","0","0","141.8","138.6","12.6","455","12.6","9.6","9.6",,,"308","118.9","9","341","118.9","297","697.2","98.3","0.08","11","332","6.6","5.0","13.7","5.0",,"4.2","13.0","0.04"
"2012 SEP","12","2.1","12","0.1","13","0",,"364","1.7","1.7","3","1","142.0","140.0","12.0","437","12.0","11.9","11.8",,,"489","103.4","9","248","103.4","436","718.1","92.8","-0.21","52","239","7.3","-13.0","16.0","-13.0",,"-5.6","-1.0","0.09"
"2012 OCT","13","2.1","13","0.1","6","0",,"352","1.9","1.9","41","0","139.6","135.2","11.5","462","11.5","11.6","11.6",,,"271","97.1","11","229","97.1","257","806.2","94.9","-0.09","13","219","5.2","-6.1","4.5","-6.1",,"2.3","-5.9","0.03"
"2012 NOV","14","2.1","14","0.1","13","0",,"358","2.0","2.0","1","2","139.4","137.6","9.1","442","9.2","10.0","9.9",,,"553","98.5","13","219","98.5","542","760.2","92.4","0.02","11","205","-0.3","1.4","-9.1","1.4",,"-2.6","-2.6","-0.05"
"2012 DEC","13","2.0","13","0.1","14","0",,"374","1.9","1.9","5","0","145.4","143.6","9.8","444","9.8","9.4","9.4",,,"438","95.1","11","195","95.1","425","708.1","88.6","-0.05","14","184","-3.3","-3.4","-13.4","-3.4",,"-4.2","-5.1","-0.06"
"2013 JAN","13","2.1","13","0.1","16","0",,"366","1.9","1.9","0","2","141.4","140.8","6.5","442","6.6","6.3","6.2",,,"325","96.4","31","251","96.4","320","562.2","84.6","0.02","5","220","-7.1","1.3","-9.2","1.3",,"-4.5","-2.5","-0.05"
"2013 FEB","13","2.0","13","0.1","5","0",,"356","1.9","1.9","0","0","141.9","137.0","7.3","441","7.3","6.6","6.6",,,"371","100.8","27","139","100.8","362","595.9","90.5","0.06","10","112","-5.9","4.6","-2.2","4.6",,"7.0","3.1","-0.02"
"2013 MAR","14","2.1","14","0.1","19","0",,"358","2.0","2.0","0","0","137.3","137.8","7.4","451","7.5","4.6","4.5",,,"398","101.0","22","156","101.0","378","708.7","90.8","0.00","19","134","-3.6","0.2","2.6","0.2",,"0.3","4.5","0.02"
"2013 APR","12","2.1","12","0.1","18","0",,"364","1.7","1.7","3","0","139.8","139.9","7.1","450","7.0","9.1","9.2",,,"377","104.9","15","149","104.9","362","706.0","98.0","0.05","15","134","5.2","3.8","5.8","3.8",,"7.9","8.5","0.07"
"2013 MAY","11","2.1","11","0.1","19","0",,"367","1.7","1.7","5","0","140.4","141.0","6.6","447","6.6","9.1","9.1",,,"331","104.5","31","185","104.5","321","685.7","96.5","-0.01","10","154","8.2","-0.4","6.2","-0.4",,"-1.5","9.0","0.10"
"2013 JUN","12","2.0","12","0.1","18","0",,"375","1.7","1.7","4","1","144.2","144.0","4.9","449","4.9","2.8","2.8",,,"565","104.8","24","191","104.8","550","770.0","96.6","0.00","15","167","9.5","0.3","5.3","0.3",,"0.1","8.3","0.12"
"2013 JUL","12","2.1","12","0.1","10","0",,"363","1.8","1.8","4","3","142.6","139.6","4.6","449","4.5","4.2","4.3",,,"462","106.8","50","252","106.8","434","757.5","101.2","0.03","27","202","5.3","2.0","3.0","2.0",,"4.7","-5.7","0.05"
"2013 AUG","13","2.1","13","0.1","13","0",,"366","1.8","1.8","1","1","143.0","140.8","0.8","442","0.8","1.6","1.5",,,"424","104.1","7","219","104.1","420","580.6","90.9","-0.04","4","213","1.1","-2.6","1.7","-2.6",,"-10.2","-12.5","-0.06"
"2013 SEP","11","2.1","11","0.1","19","0",,"365","1.6","1.6","1","0","139.7","140.2","-1.5","439","-1.6","0.1","0.1",,,"374","105.0","5","100","105.0","360","659.0","93.7","0.01","14","94","-1.9","0.9","0.5","0.9",,"3.1","1.5","-0.09"
"2013 OCT","11","2.1","11","0.1","4","0",,"349","1.6","1.6","1","1","139.2","134.0","-0.3","441","-0.3","-0.8","-0.9",,,"340","109.5","6","180","109.5","328","878.3","109.5","0.06","12","174","-0.1","4.4","0.8","4.4",,"16.9","12.8","0.00"
"2013 NOV","10","2.1","10","0.1","13","0",,"350","1.5","1.5","1","0","136.2","134.6","-2.2","450","-2.3","-2.2","-2.1",,,"342","108.5","25","179","108.5","329","694.1","97.0","-0.01","12","153","4.0","-0.9","2.3","-0.9",,"-11.4","10.2","0.11"
"2013 DEC","11","2.1","11","0.1","14","0",,"346","1.6","1.6","0","0","134.2","132.9","-7.6","444","-7.7","-7.5","-7.4",,,"302","107.1","8","244","107.1","292","724.7","95.9","-0.02","10","237","5.8","-1.3","2.9","-1.3",,"-1.1","12.6","0.16"
"2014 JAN","13","2.1","13","0.1","12","1",,"363","1.9","1.9","0","3","142.0","139.6","0.2","447","0.4","-0.8","-1.0",,,"406","108.8","5","150","108.8","398","692.8","99.9","0.02","8","145","-0.4","1.6","1.8","1.6",,"4.2","12.8","0.17"
"2014 FEB","13","2.1","13","0.1","6","0",,"334","1.9","1.9","0","0","132.4","128.3","-6.7","450","-6.7","-6.4","-6.4",,,"397","108.9","11","238","108.9","390","651.4","101.3","0.00","6","228","-1.0","0.1","0.5","0.1",,"1.3","7.9","0.16"
"2014 MAR","15","2.1","15","0.1","13","0",,"329","2.1","2.1","0","0","127.7","126.4","-6.9","448","-6.9","-8.2","-8.2",,,"347","107.3","9","189","107.3","334","773.4","96.3","-0.02","13","180","-1.6","-1.5","-0.1","-1.5",,"-4.9","6.2","0.13"
"2014 APR","15","2.2","15","0.1","14","0",,"351","2.1","2.1","1","0","136.3","134.9","-2.5","454","-2.5","-3.6","-3.5",,,"298","105.9","13","213","105.9","288","676.8","92.0","-0.02","11","200","-1.1","-1.3","-0.7","-1.3",,"-4.4","0.9","0.07"
"2014 MAY","15","2.1","15","0.1","13","0",,"344","2.1","2.1","2","0","133.9","132.2","-4.6","454","-4.6","-6.2","-6.2",,,"324","104.0","25","200","104.0","320","660.7","89.1","-0.03","4","175","-6.6","-1.7","-2.3","-1.7",,"-3.2","-0.4","0.03"
"2014 JUN","16","2.1","16","0.1","15","0",,"354","2.3","2.3","5","0","137.4","136.2","-4.7","453","-4.7","-5.4","-5.5",,,"323","103.8","9","180","103.8","313","637.5","86.1","0.00","9","171","-10.2","-0.2","-3.5","-0.2",,"-3.4","-0.9","0.00"
"2014 JUL","16","2.1","16","0.1","7","0",,"350","2.2","2.2","5","1","138.5","134.5","-2.8","451","-2.9","-3.7","-3.7",,,"437","102.7","16","163","102.7","421","621.5","87.2","-0.01","16","148","-9.4","-1.0","-3.6","-1.0",,"1.3","-3.8","-0.03"
"2014 AUG","14","2.2","14","0.1","6","1",,"338","2.0","2.0","6","0","134.4","130.1","-6.1","448","-6.0","-7.6","-7.7",,,"360","103.0","4","168","103.0","359","574.8","88.2","0.00","1","164","-5.7","0.3","-2.4","0.3",,"1.1","-1.0","-0.03"
"2014 SEP","15","2.2","15","0.1","16","0",,"344","2.1","2.1","0","0","132.6","132.1","-5.2","451","-5.1","-5.8","-5.8",,,"594","102.7","13","176","102.7","589","633.8","86.5","0.00","5","162","-2.0","-0.3","-1.7","-0.3",,"-1.9","-2.1","-0.03"
"2014 OCT","13","2.2","13","0.1","8","1",,"333","1.9","1.9","1","3","131.4","128.2","-5.8","448","-5.6","-4.4","-4.5",,,"613","103.7","67","229","103.7","581","723.3","88.9","0.01","31","162","0.4","0.9","-0.4","0.9",,"2.8","-5.4","-0.04"
"2014 NOV","14","2.1","14","0.1","8","1",,"336","2.0","2.0","2","0","132.7","129.2","-2.8","448","-2.6","-4.0","-4.2",,,"563","101.4","11","187","101.4","556","659.5","87.4","-0.03","7","175","0.5","-2.2","-0.6","-2.2",,"-1.7","-6.5","-0.07"
"2014 DEC","14","2.1","14","0.1","18","1",,"341","1.9","1.9","3","1","130.5","131.1","-2.9","456","-2.8","-1.3","-1.5",,,"599","102.4","3","316","102.4","590","747.0","91.8","0.01","9","314","2.4","1.0","-0.3","1.0",,"5.0","-4.4","-0.08"
"2015 JAN","16","2.1","16","0.1","14","1",,"351","2.3","2.3","0","0","136.0","134.8","-4.1","452","-4.3","-3.4","-3.3",,,"531","99.7","10","159","99.7","528","652.8","88.5","-0.04","4","149","1.5","-2.6","-1.9","-2.6",,"-3.6","-8.3","-0.10"
"2015 FEB","17","2.1","17","0.1","11","0",,"330","2.3","2.3","0","0","129.2","127.0","-2.3","447","-2.4","-1.0","-0.9",,,"441","103.1","90","193","103.1","427","698.6","99.5","0.05","14","102","6.5","3.3","-0.8","3.3",,"12.5","-5.3","-0.09"
"2015 MAR","17","2.1","17","0.1","22","0",,"341","2.4","2.4","2","5","129.0","131.0","1.0","459","1.0","3.7","3.6",,,"591","103.1","18","168","103.1","577","856.3","101.2","0.00","13","151","7.9","0.0","-0.5","0.0",,"1.6","-3.9","-0.09"
"2015 APR","16","2.2","16","0.1","25","0",,"347","2.2","2.2","2","0","130.4","133.5","-4.3","455","-4.3","-1.0","-1.0",,,"593","102.0","22","164","102.0","581","759.7","96.8","-0.02","12","142","11.2","-1.1","1.5","-1.1",,"-4.3","-3.7","-0.07"
"2015 MAY","16","2.2","16","0.1","11","0",,"336","2.2","2.2","0","0","131.3","129.0","-2.0","454","-2.0","-2.4","-2.5",,,"571","102.1","18","148","102.1","566","684.3","93.4","0.00","5","130","4.1","0.1","0.6","0.1",,"-3.6","-1.9","-0.05"
"2015 JUN","15","2.1","15","0.1","18","0",,"366","2.2","2.2","4","0","140.6","140.8","2.4","451","2.4","3.3","3.4",,,"580","101.6","36","328","101.6","561","776.8","93.4","-0.01","19","292","-2.0","-0.4","-0.1","-0.4",,"0.0","-2.1","-0.04"
"2015 JUL","16","2.1","16","0.1","17","0",,"372","2.2","2.2","7","1","143.6","143.1","3.6","456","3.7","6.4","6.4",,,"438","102.7","30","199","102.7","420","748.5","91.4","0.01","17","168","-6.5","1.1","-0.6","1.1",,"-2.1","0.0","-0.02"
"2015 AUG","15","2.2","15","0.1","20","0",,"365","2.0","2.0","4","0","139.8","140.5","4.1","443","4.0","8.0","8.1",,,"540","101.5","23","247","101.5","533","654.1","93.8","-0.02","7","224","-4.4","-1.2","-0.4","-1.2",,"2.6","-1.5","-0.02"
"2015 SEP","14","2.2","14","0.1","29","0",,"381","2.0","2.0","1","1","142.3","146.6","7.4","447","7.4","11.0","11.0",,,"510","102.3","14","319","102.3","494","770.7","96.5","0.01","16","305","-0.6","0.8","0.3","0.8",,"2.9","-0.4","-0.01"
"2015 OCT","15","2.2","15","0.1","11","0",,"347","2.0","2.0","1","1","136.1","133.6","3.9","443","3.6","4.2","4.4",,,"548","98.7","85","313","98.7","537","766.9","89.1","-0.05","11","228","0.4","-3.5","-1.3","-3.5",,"-7.7","-4.8","-0.03"
"2015 NOV","16","2.2","16","0.1","7","0",,"346","2.2","2.2","1","0","136.9","132.8","3.4","447","3.2","2.8","3.0",,,"502","100.6","28","224","100.6","488","734.4","96.5","0.03","14","196","1.2","1.9","-1.4","1.9",,"8.3","-0.8","-0.03"
"2015 DEC","17","2.2","17","0.1","15","3",,"358","2.4","2.4","5","5","138.6","137.5","5.5","455","6.2","4.9","4.1",,,"540","100.2","21","234","100.2","536","856.0","98.9","-0.01","4","213","1.0","-0.4","-2.3","-0.4",,"2.5","-2.1","-0.04"
"2016 JAN","17","2.1","17","0.1","10","0",,"365","2.3","2.3","0","0","143.5","140.4","5.7","451","5.6","4.2","4.3",,,"686","94.9","20","344","94.9","681","598.0","87.0","-0.08","4","325","1.1","-5.3","-2.3","-5.3",,"-12.0","-4.9","-0.04"
"2016 FEB","18","2.1","18","0.1","10","0",,"356","2.5","2.5","0","3","139.8","137.0","8.2","455","8.2","7.9","7.8",,,"603","97.8","15","483","97.8","585","537.9","90.0","0.04","18","468","-2.2","3.0","-2.9","3.0",,"3.4","-5.2","-0.06"
"2016 MAR","18","2.1","18","0.1","14","0",,"361","2.4","2.4","2","0","140.0","138.7","8.6","455","8.5","5.8","5.8",,,"625","98.8","59","380","98.8","610","636.3","91.5","0.02","16","320","-5.6","1.1","-2.7","1.1",,"1.6","-4.1","-0.07"
"2016 APR","17","2.2","17","0.1","37","0",,"382","2.3","2.3","2","0","139.8","147.0","7.2","458","7.2","10.2","10.2",,,"706","95.7","27","365","95.7","687","693.0","90.0","-0.04","19","339","-3.9","-3.2","-1.1","-3.2",,"-1.6","-6.1","-0.08"
"2016 MAY","16","2.2","16","0.1","17","0",,"363","2.1","2.1","16","0","140.2","139.7","6.9","461","6.8","8.3","8.4",,,"639","95.7","35","254","95.7","629","717.4","91.9","0.00","10","219","-0.9","0.0","-0.9","0.0",,"2.0","-6.2","-0.08"
"2016 JUN","18","2.1","18","0.1","20","0",,"376","2.5","2.5","4","0","143.9","144.4","2.3","454","2.3","2.6","2.6",,,"717","95.6","32","246","95.6","707","841.7","92.0","0.00","10","214","2.0","-0.1","-1.5","-0.1",,"0.1","-5.9","-0.09"
"2016 JUL","22","2.1","22","0.1","15","0",,"399","2.9","2.9","18","2","155.2","153.4","8.1","466","8.0","7.2","7.3",,,"588","99.1","79","309","99.1","570","873.9","92.1","0.05","18","228","1.6","3.7","-0.6","3.7",,"0.1","-3.5","-0.08"
"2016 AUG","24","2.2","24","0.1","35","0",,"398","3.3","3.3","4","1","146.6","152.9","4.9","455","4.9","8.9","8.8",,,"471","94.3","31","198","94.3","436","636.9","86.5","-0.07","35","167","-1.0","-4.9","-0.4","-4.9",,"-6.0","-7.2","-0.08"
"2016 SEP","23","2.2","23","0.1","25","0",,"394","3.1","3.1","0","1","149.1","151.3","4.7","458","4.8","3.2","3.2",,,"440","93.2","13","333","93.2","426","779.5","88.1","-0.01","14","321","-2.6","-1.1","-0.2","-1.1",,"1.8","-8.9","-0.09"
"2016 OCT","21","2.2","21","0.1","13","0",,"377","2.8","2.8","0","0","147.2","145.1","8.2","452","8.1","8.6","8.6",,,"572","94.3","32","237","94.3","549","803.3","83.6","0.01","23","205","-6.4","1.1","-3.0","1.1",,"-5.1","-4.5","-0.10"
"2016 NOV","19","2.2","19","0.1","10","1",,"383","2.5","2.5","1","0","150.7","147.2","10.0","460","10.1","10.8","10.7",,,"570","98.7","18","251","98.7","556","793.2","91.5","0.06","14","233","-2.7","4.7","-1.0","4.7",,"9.5","-1.9","-0.07"
"2016 DEC","17","2.2","17","0.1","17","0",,"380","2.3","2.3","0","0","146.9","146.2","6.8","464","6.0","6.3","7.2",,,"436","96.6","28","205","96.6","426","930.6","97.6","-0.03","10","177","2.3","-2.2","1.0","-2.2",,"6.6","-3.6","-0.05"
"2017 JAN","16","2.2","16","0.1","20","0",,"386","2.2","2.2","1","4","147.7","148.3","2.9","468","2.9","5.6","5.5",,,"489","100.0","9","155","100.0","479","732.1","96.5","0.05","10","146","10.6","3.6","4.8","3.6",,"-1.1","5.4","0.00"
"2017 FEB","15","2.2","15","0.1","91","0",,"449","2.0","2.0","0","1","145.0","172.7","3.7","461","3.7","26.0","26.1",,,"531","100.7","15","228","100.7","524","596.6","94.5","0.01","6","214","9.6","0.7","3.9","0.7",,"-2.1","3.0","0.02"
"2017 MAR","17","2.2","17","0.1","23","0",,"376","2.2","2.2","1","0","142.5","144.4","1.8","465","1.8","4.1","4.2",,,"483","100.6","34","181","100.6","463","787.6","95.5","0.00","21","146","5.1","-0.1","4.1","-0.1",,"1.0","1.8","0.05"
"2017 APR","17","2.2","17","0.1","20","0",,"376","2.3","2.3","1","0","144.1","144.6","3.0","466","3.1","-1.7","-1.7",,,"512","103.6","8","104","103.6","497","811.3","94.4","0.04","14","96","-0.4","2.9","3.3","2.9",,"-1.1","8.2","0.06"
