UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
22241610,528085.0,105513.0,50.8349785,-0.1824135
22241611,528085.0,105513.0,50.8349785,-0.1824135
22241612,536038.0,102509.0,50.8061676,-0.0706529
22241614,536042.0,102507.0,50.8061487,-0.0705969
22241615,536044.0,102506.0,50.8061393,-0.0705689
22241616,536046.0,102505.0,50.8061298,-0.0705409
22241617,536048.0,102503.0,50.8061113,-0.0705133
22241619,536052.0,102501.0,50.8060924,-0.0704573
22241620,536054.0,102499.0,50.806074,-0.0704297
22241621,538218.0,101890.0,50.8000891,-0.0399658
22241622,538220.0,101890.0,50.8000886,-0.0399374
22241624,538224.0,101890.0,50.8000877,-0.0398807
22241625,538226.0,101890.0,50.8000872,-0.0398523
22241626,538228.0,101889.0,50.8000777,-0.0398243
22241627,538230.0,101889.0,50.8000773,-0.039796
22241628,538232.0,101889.0,50.8000768,-0.0397676
22241629,538234.0,101889.0,50.8000763,-0.0397392
22241631,538242.0,101888.0,50.8000654,-0.0396262
22241633,538246.0,101886.0,50.8000465,-0.0395702
22241634,538248.0,101885.0,50.800037,-0.0395422
22241635,538249.0,101884.0,50.8000278,-0.0395284
22241636,538251.0,101883.0,50.8000183,-0.0395004
22241637,538253.0,101882.0,50.8000089,-0.0394724
22241638,538255.0,101881.0,50.7999994,-0.0394444
22241639,538257.0,101880.0,50.7999899,-0.0394164
22241642,537209.0,102075.0,50.8019913,-0.054206
22241644,537213.0,102074.0,50.8019813,-0.0541497
22241645,537214.0,102073.0,50.8019721,-0.0541359
22241646,537216.0,102073.0,50.8019716,-0.0541075
22241647,537218.0,102072.0,50.8019622,-0.0540795
22241648,537220.0,102072.0,50.8019617,-0.0540511
22241649,537222.0,102071.0,50.8019522,-0.0540232
22241653,537231.0,102069.0,50.8019321,-0.0538963
22241654,537234.0,102068.0,50.8019224,-0.0538541
22241655,537236.0,102067.0,50.801913,-0.0538261
22241657,537240.0,102066.0,50.801903,-0.0537697
22241658,537242.0,102066.0,50.8019026,-0.0537414
22241659,537244.0,102065.0,50.8018931,-0.0537134
22241660,537246.0,102065.0,50.8018926,-0.053685
22241666,528700.0,105077.0,50.8309234,-0.1738375
22241667,528252.0,104429.0,50.8251984,-0.1804222
22241669,528393.0,104372.0,50.8246549,-0.1784413
22241673,528665.07,105280.16,50.8327572,-0.1742621
22241680,528520.0,104770.0,50.828204,-0.1764997
22241683,530416.0,105288.0,50.8324363,-0.1494093
22241696,532071.0,105070.0,50.8301021,-0.1259997
22241697,537718.0,104187.0,50.8208518,-0.046195
22241699,537121.0,102123.0,50.8024435,-0.0554362
22241703,533761.11,103128.9,50.8122686,-0.1027224
22241704,533531.0,105418.0,50.8328952,-0.1051538
22241716,532107.98,105729.99,50.8360255,-0.1252374
22241717,532106.16,105724.52,50.8359768,-0.1252652
22241718,527044.0,104540.0,50.8264621,-0.1975258
22241719,527040.0,104541.0,50.8264719,-0.1975823
