"Title","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Arts, Entertainment & Recreation: Employment Weight","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Public Sector Arts, Entertainment & Recreation: Employment Weight","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Arrears","UK Workforce Jobs SA : R Arts, entertainment & recreation (thousands)","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Total Pay","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation"
"CDID","JP9X","K6T4","JP9X","K6T9","K5EJ","K5EK","JWT6","K5EI","JPC2","JPC2"
"Source dataset ID","UNEM","EMP","LMS","EMP","EMP","EMP","LMS","EMP","UNEM","LMS"
"PreUnit","","","","","","","","","",""
"Unit","","","","","","","","","",""
"Release date","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025","15-04-2025"
"Next release","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025","13 May 2025"
"Important notes",,,,,,,,,,
"2020 AUG","4","2.2","4","0.1","44","0",,"420","0.6","0.6"
"2020 SEP","8","2.1","8","0.1","42","1",,"424","1.2","1.2"
"2020 OCT","10","2.1","10","0.1","13","0",,"427","1.4","1.4"
"2020 NOV","12","2.0","12","0.1","14","0",,"437","1.7","1.7"
"2020 DEC","10","2.1","10","0.1","29","3",,"466","1.5","1.5"
"2021 JAN","7","2.0","7","0.1","25","0",,"448","1.1","1.1"
"2021 FEB","6","1.9","6","0.1","24","1",,"446","0.8","0.8"
"2021 MAR","9","1.9","9","0.1","21","0",,"456","1.2","1.2"
"2021 APR","19","1.9","19","0.1","25","0",,"464","2.8","2.8"
"2021 MAY","25","1.9","25","0.1","15","0",,"455","3.6","3.6"
"2021 JUN","31","2.0","31","0.1","37","2",,"475","4.5","4.5"
"2021 JUL","30","2.0","30","0.1","36","0",,"440","4.2","4.2"
"2021 AUG","31","2.1","31","0.1","52","0",,"462","4.5","4.5"
"2021 SEP","34","2.1","34","0.1","34","0",,"450","4.9","4.9"
"2021 OCT","33","2.1","33","0.1","16","0",,"426","4.8","4.8"
"2021 NOV","33","2.1","33","0.1","15","1",,"424","4.7","4.7"
"2021 DEC","28","2.1","28","0.1","26","1",,"432","4.1","4.1"
"2022 JAN","32","2.0","32","0.1","28","2",,"448","4.2","4.2"
"2022 FEB","35","2.1","35","0.1","27","1",,"436","4.6","4.6"
"2022 MAR","38","2.1","38","0.1","70","1",,"482","5.0","5.0"
"2022 APR","34","2.2","34","0.1","17","0",,"438","4.5","4.5"
"2022 MAY","33","2.2","33","0.1","31","0",,"441","4.4","4.4"
"2022 JUN","33","2.2","33","0.1","37","0",,"447","4.4","4.4"
"2022 JUL","34","2.1","34","0.1","66","1",,"501","4.5","4.5"
"2022 AUG","34","2.2","34","0.1","143","1",,"569","4.5","4.5"
"2022 SEP","30","2.2","30","0.1","33","1",,"469","4.0","4.0"
"2022 OCT","28","2.2","28","0.1","17","2",,"471","3.8","3.8"
"2022 NOV","25","2.2","25","0.1","26","4",,"495","3.4","3.4"
"2022 DEC","26","2.1","26","0.1","36","4",,"509","3.4","3.4"
"2023 JAN","28","2.1","28","0.1","19","0",,"441","3.4","3.4"
"2023 FEB","29","2.0","29","0.1","24","1",,"464","3.6","3.6"
"2023 MAR","28","2.1","28","0.1","41","0",,"476","3.5","3.5"
"2023 APR","28","2.1","28","0.1","29","0",,"473","3.4","3.4"
"2023 MAY","27","2.1","27","0.1","16","1",,"460","3.4","3.4"
"2023 JUN","28","2.1","28","0.1","48","0",,"492","3.5","3.5"
"2023 JUL","27","2.1","27","0.1","35","1",,"470","3.4","3.4"
"2023 AUG","26","2.1","26","0.1","27","1",,"470","3.2","3.2"
"2023 SEP","22","2.2","22","0.1","51","1",,"487","2.7","2.7"
"2023 OCT","21","2.2","21","0.1","10","1",,"450","2.5","2.5"
"2023 NOV","18","2.1","18","0.1","16","4",,"478","2.2","2.2"
"2023 DEC","18","2.1","18","0.1","26","4",,"493","2.2","2.2"
"2024 JAN","15","2.2","15","0.1","24","2",,"470","1.8","1.8"
"2024 FEB","14","2.2","14","0.1","29","1",,"486","1.6","1.6"
"2024 MAR","17","2.2","17","0.1","44","1",,"505","2.0","2.0"
"2024 APR","19","2.3","19","0.1","24","0",,"491","2.2","2.2"
"2024 MAY","19","2.3","19","0.1","15","0",,"475","2.3","2.3"
"2024 JUN","17","2.2","17","0.1","36","0",,"508","2.0","2.0"
"2024 JUL","16","2.3","16","0.1","48","1",,"539","1.9","1.9"
"2024 AUG","18","2.3","18","0.1","23","0",,"523","2.1","2.1"
"2024 SEP","18","2.3","18","0.1","46","1",,"543","2.1","2.1"
"2024 OCT","17","2.3","17","0.1","13","1",,"512","2.0","2.0"
"2024 NOV","18","2.2","18","0.1","19","3",,"525","2.1","2.1"
"2024 DEC","19","2.2","19","0.1","28","3",,"533","2.2","2.2"
"2025 JAN","20","2.2","20","0.1","27","1",,"515","2.4","2.4"
"2025 FEB","18","2.2","18","0.1","40","1",,"532","2.1","2.1"
