"area label","area long label","area","Employees - Arts development and support"
"area label","area long label","area","6233"
"area label","area long label","area","2023/24"
"area label","area long label","area","fin_2023_24"
"area label","area long label","area","GBP (000)"
"area label","area long label","area","raw"
"Brighton and Hove","Brighton and Hove (Unitary)","E06000043","606"
"Barking and Dagenham","Barking and Dagenham (London borough)","E09000002","345"
"Barnet","Barnet (London borough)","E09000003","0"
"Barnsley","Barnsley (Metropolitan borough)","E08000038","22"
"Bath and North East Somerset","Bath and North East Somerset (Unitary)","E06000022","0"
"Bedford Borough","Bedford Borough (Unitary)","E06000055","0"
"Bexley","Bexley (London borough)","E09000004","0"
"Birmingham","Birmingham (Metropolitan borough)","E08000025","Missing"
"Blackburn with Darwen","Blackburn with Darwen (Unitary)","E06000008","0"
"Blackpool","Blackpool (Unitary)","E06000009","154"
"Bolton","Bolton (Metropolitan borough)","E08000001","0"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole (Unitary)","E06000058","241"
"Bracknell Forest","Bracknell Forest (Unitary)","E06000036","0"
"Bradford","Bradford (Metropolitan borough)","E08000032","629"
"Brent","Brent (London borough)","E09000005","95"
"Bristol","Bristol (Unitary)","E06000023","745"
"Bromley","Bromley (London borough)","E09000006","0"
"Buckinghamshire","Buckinghamshire (Unitary)","E06000060","0"
"Bury","Bury (Metropolitan borough)","E08000002","4"
"Calderdale","Calderdale (Metropolitan borough)","E08000033","119"
"Cambridgeshire","Cambridgeshire (County)","E10000003","0"
"Camden","Camden (London borough)","E09000007","332"
"Central Bedfordshire","Central Bedfordshire (Unitary)","E06000056","0"
"Cheshire East","Cheshire East (Unitary)","E06000049","292"
"Cheshire West and Chester","Cheshire West and Chester (Unitary)","E06000050","177"
"City of London","City of London (London borough)","E09000001","0"
"Cornwall","Cornwall (Unitary)","E06000052","6"
"Coventry","Coventry (Metropolitan borough)","E08000026","367"
"Croydon","Croydon (London borough)","E09000008","0"
"Cumberland","Cumberland (Unitary)","E06000063","0"
"Darlington","Darlington (Unitary)","E06000005","129"
"Derby","Derby (Unitary)","E06000015","638"
"Derbyshire","Derbyshire (County)","E10000007","58"
"Devon","Devon (County)","E10000008","0"
"Doncaster","Doncaster (Metropolitan borough)","E08000017","0"
"Dorset","Dorset (Unitary)","E06000059","102"
"Dudley","Dudley (Metropolitan borough)","E08000027","57"
"Durham","Durham (Unitary)","E06000047","239"
"Ealing","Ealing (London borough)","E09000009","92"
"East Riding of Yorkshire","East Riding of Yorkshire (Unitary)","E06000011","173"
"East Sussex","East Sussex (County)","E10000011","69"
"Enfield","Enfield (London borough)","E09000010","0"
"Essex","Essex (County)","E10000012","55"
"Gateshead","Gateshead (Metropolitan borough)","E08000037","144"
"Gloucestershire","Gloucestershire (County)","E10000013","0"
"Greenwich","Greenwich (London borough)","E09000011","0"
"Hackney","Hackney (London borough)","E09000012","464"
"Halton","Halton (Unitary)","E06000006","0"
"Hammersmith and Fulham","Hammersmith and Fulham (London borough)","E09000013","153"
"Hampshire","Hampshire (County)","E10000014","18"
"Haringey","Haringey (London borough)","E09000014","147"
"Harrow","Harrow (London borough)","E09000015","768"
"Hartlepool","Hartlepool (Unitary)","E06000001","0"
"Havering","Havering (London borough)","E09000016","3"
"Herefordshire","Herefordshire (Unitary)","E06000019","0"
"Hertfordshire","Hertfordshire (County)","E10000015","438"
"Hillingdon","Hillingdon (London borough)","E09000017","799"
"Hounslow","Hounslow (London borough)","E09000018","53"
"Isle of Wight","Isle of Wight (Unitary)","E06000046","0"
"Isles of Scilly","Isles of Scilly (Unitary)","E06000053","1"
"Islington","Islington (London borough)","E09000019","290"
"Kensington and Chelsea","Kensington and Chelsea (London borough)","E09000020","137"
"Kent","Kent (County)","E10000016","375"
"Kingston upon Hull","Kingston upon Hull (Unitary)","E06000010","273"
"Kingston upon Thames","Kingston upon Thames (London borough)","E09000021","208"
"Kirklees","Kirklees (Metropolitan borough)","E08000034","191"
"Knowsley","Knowsley (Metropolitan borough)","E08000011","361"
"Lambeth","Lambeth (London borough)","E09000022","1,112"
"Lancashire","Lancashire (County)","E10000017","399"
"Leeds","Leeds (Metropolitan borough)","E08000035","1,905"
"Leicester","Leicester (Unitary)","E06000016","888"
"Leicestershire","Leicestershire (County)","E10000018","0"
"Lewisham","Lewisham (London borough)","E09000023","241"
"Lincolnshire","Lincolnshire (County)","E10000019","0"
"Liverpool","Liverpool (Metropolitan borough)","E08000012","1,623"
"Luton","Luton (Unitary)","E06000032","0"
"Manchester","Manchester (Metropolitan borough)","E08000003","111"
"Medway","Medway (Unitary)","E06000035","129"
"Merton","Merton (London borough)","E09000024","0"
"Middlesbrough","Middlesbrough (Unitary)","E06000002","22"
"Milton Keynes","Milton Keynes (Unitary)","E06000042","126"
"Newcastle upon Tyne","Newcastle upon Tyne (Metropolitan borough)","E08000021","220"
"Newham","Newham (London borough)","E09000025","355"
"Norfolk","Norfolk (County)","E10000020","110"
"North East Lincolnshire","North East Lincolnshire (Unitary)","E06000012","0"
"North Lincolnshire","North Lincolnshire (Unitary)","E06000013","97"
"North Northamptonshire","North Northamptonshire (Unitary)","E06000061","111"
"North Somerset","North Somerset (Unitary)","E06000024","0"
"North Tyneside","North Tyneside (Metropolitan borough)","E08000022","30"
"North Yorkshire","North Yorkshire (Unitary)","E06000065","894"
"Northumberland","Northumberland (Unitary)","E06000057","0"
"Nottingham","Nottingham (Unitary)","E06000018","71"
"Nottinghamshire","Nottinghamshire (County)","E10000024","0"
"Oldham","Oldham (Metropolitan borough)","E08000004","85"
"Oxfordshire","Oxfordshire (County)","E10000025","104"
"Peterborough","Peterborough (Unitary)","E06000031","0"
"Plymouth","Plymouth (Unitary)","E06000026","0"
"Portsmouth","Portsmouth (Unitary)","E06000044","433"
"Reading","Reading (Unitary)","E06000038","14"
"Redbridge","Redbridge (London borough)","E09000026","0"
"Redcar and Cleveland","Redcar and Cleveland (Unitary)","E06000003","7"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","915"
"Rochdale","Rochdale (Metropolitan borough)","E08000005","5"
"Rotherham","Rotherham (Metropolitan borough)","E08000018","0"
"Rutland","Rutland (Unitary)","E06000017","5"
"Salford","Salford (Metropolitan borough)","E08000006","246"
"Sandwell","Sandwell (Metropolitan borough)","E08000028","39"
"Sefton","Sefton (Metropolitan borough)","E08000014","56"
"Sheffield","Sheffield (Metropolitan borough)","E08000039","126"
"Shropshire","Shropshire (Unitary)","E06000051","156"
"Slough","Slough (Unitary)","E06000039","491"
"Solihull","Solihull (Metropolitan borough)","E08000029","0"
"Somerset","Somerset (Unitary)","E06000066","0"
"South Gloucestershire","South Gloucestershire (Unitary)","E06000025","1"
"South Tyneside","South Tyneside (Metropolitan borough)","E08000023","72"
"Southampton","Southampton (Unitary)","E06000045","252"
"Southend-on-Sea","Southend-on-Sea (Unitary)","E06000033","66"
"Southwark","Southwark (London borough)","E09000028","178"
"St. Helens","St. Helens (Metropolitan borough)","E08000013","50"
"Staffordshire","Staffordshire (County)","E10000028","0"
"Stockport","Stockport (Metropolitan borough)","E08000007","2"
"Stockton-on-Tees","Stockton-on-Tees (Unitary)","E06000004","23"
"Stoke-on-Trent","Stoke-on-Trent (Unitary)","E06000021","188"
"Suffolk","Suffolk (County)","E10000029","0"
"Sunderland","Sunderland (Metropolitan borough)","E08000024","127"
"Surrey","Surrey (County)","E10000030","787"
"Sutton","Sutton (London borough)","E09000029","9"
"Swindon","Swindon (Unitary)","E06000030","0"
"Tameside","Tameside (Metropolitan borough)","E08000008","2"
"Telford and Wrekin","Telford and Wrekin (Unitary)","E06000020","0"
"Thurrock","Thurrock (Unitary)","E06000034","0"
"Torbay","Torbay (Unitary)","E06000027","260"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","906"
"Trafford","Trafford (Metropolitan borough)","E08000009","0"
"Wakefield","Wakefield (Metropolitan borough)","E08000036","129"
"Walsall","Walsall (Metropolitan borough)","E08000030","361"
"Waltham Forest","Waltham Forest (London borough)","E09000031","40"
"Wandsworth","Wandsworth (London borough)","E09000032","477"
"Warrington","Warrington (Unitary)","E06000007","0"
"Warwickshire","Warwickshire (County)","E10000031","130"
"West Berkshire","West Berkshire (Unitary)","E06000037","0"
"West Northamptonshire","West Northamptonshire (Unitary)","E06000062","0"
"West Sussex","West Sussex (County)","E10000032","0"
"Westminster","Westminster (London borough)","E09000033","0"
"Westmorland and Furness","Westmorland and Furness (Unitary)","E06000064","Missing"
"Wigan","Wigan (Metropolitan borough)","E08000010","451"
"Wiltshire","Wiltshire (Unitary)","E06000054","77"
"Windsor and Maidenhead","Windsor and Maidenhead (Unitary)","E06000040","0"
"Wirral","Wirral (Metropolitan borough)","E08000015","0"
"Wokingham","Wokingham (Unitary)","E06000041","0"
"Wolverhampton","Wolverhampton (Metropolitan borough)","E08000031","540"
"Worcestershire","Worcestershire (County)","E10000034","0"
"York","York (Unitary)","E06000014","0"
