"area label","area long label","area","% of children at expected level in Expressive arts and design"
"North Tyneside","North Tyneside (Metropolitan borough)","E08000022","83.8"
"North Yorkshire","North Yorkshire (Unitary)","E06000065","88.8"
"Northumberland","Northumberland (Unitary)","E06000057","85.4"
"Nottingham","Nottingham (Unitary)","E06000018","80.4"
"Nottinghamshire","Nottinghamshire (County)","E10000024","84.9"
"Oldham","Oldham (Metropolitan borough)","E08000004","78.2"
"Oxfordshire","Oxfordshire (County)","E10000025","89.3"
"Peterborough","Peterborough (Unitary)","E06000031","77.1"
"Plymouth","Plymouth (Unitary)","E06000026","85.9"
"Portsmouth","Portsmouth (Unitary)","E06000044","84.8"
"Reading","Reading (Unitary)","E06000038","85.0"
"Redbridge","Redbridge (London borough)","E09000026","84.9"
"Redcar and Cleveland","Redcar and Cleveland (Unitary)","E06000003","83.2"
"Richmond upon Thames","Richmond upon Thames (London borough)","E09000027","92.7"
"Rochdale","Rochdale (Metropolitan borough)","E08000005","80.5"
"Rotherham","Rotherham (Metropolitan borough)","E08000018","80.5"
"Rutland","Rutland (Unitary)","E06000017","92.4"
"Salford","Salford (Metropolitan borough)","E08000006","80.5"
"Sandwell","Sandwell (Metropolitan borough)","E08000028","74.4"
"Sefton","Sefton (Metropolitan borough)","E08000014","84.0"
"Sheffield","Sheffield (Metropolitan borough)","E08000039","83.3"
"Shropshire","Shropshire (Unitary)","E06000051","89.1"
"Slough","Slough (Unitary)","E06000039","83.4"
"Solihull","Solihull (Metropolitan borough)","E08000029","87.7"
"Somerset","Somerset (Unitary)","E06000066","88.3"
"South Gloucestershire","South Gloucestershire (Unitary)","E06000025","87.8"
"South Tyneside","South Tyneside (Metropolitan borough)","E08000023","82.2"
"Southampton","Southampton (Unitary)","E06000045","83.9"
"Southend-on-Sea","Southend-on-Sea (Unitary)","E06000033","86.0"
"Southwark","Southwark (London borough)","E09000028","83.3"
"St. Helens","St. Helens (Metropolitan borough)","E08000013","81.2"
"Staffordshire","Staffordshire (County)","E10000028","85.1"
"Stockport","Stockport (Metropolitan borough)","E08000007","86.5"
"Stockton-on-Tees","Stockton-on-Tees (Unitary)","E06000004","85.6"
"Stoke-on-Trent","Stoke-on-Trent (Unitary)","E06000021","76.9"
"Suffolk","Suffolk (County)","E10000029","86.5"
"Sunderland","Sunderland (Metropolitan borough)","E08000024","82.7"
"Surrey","Surrey (County)","E10000030","90.9"
"Sutton","Sutton (London borough)","E09000029","85.7"
"Swindon","Swindon (Unitary)","E06000030","84.0"
"Tameside","Tameside (Metropolitan borough)","E08000008","81.2"
"Telford and Wrekin","Telford and Wrekin (Unitary)","E06000020","84.5"
"Thurrock","Thurrock (Unitary)","E06000034","86.2"
"Torbay","Torbay (Unitary)","E06000027","85.8"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","80.9"
"Trafford","Trafford (Metropolitan borough)","E08000009","87.9"
"Wakefield","Wakefield (Metropolitan borough)","E08000036","81.8"
"Walsall","Walsall (Metropolitan borough)","E08000030","80.5"
"Waltham Forest","Waltham Forest (London borough)","E09000031","86.6"
"Wandsworth","Wandsworth (London borough)","E09000032","87.5"
"Warrington","Warrington (Unitary)","E06000007","83.8"
"Warwickshire","Warwickshire (County)","E10000031","84.4"
"West Berkshire","West Berkshire (Unitary)","E06000037","87.5"
"West Northamptonshire","West Northamptonshire (Unitary)","E06000062","86.4"
"West Sussex","West Sussex (County)","E10000032","88.9"
"Westminster","Westminster (London borough)","E09000033","84.4"
"Westmorland and Furness","Westmorland and Furness (Unitary)","E06000064","88.5"
"Wigan","Wigan (Metropolitan borough)","E08000010","80.6"
"Wiltshire","Wiltshire (Unitary)","E06000054","88.1"
"Windsor and Maidenhead","Windsor and Maidenhead (Unitary)","E06000040","89.9"
"Wirral","Wirral (Metropolitan borough)","E08000015","81.1"
"Wokingham","Wokingham (Unitary)","E06000041","90.6"
"Wolverhampton","Wolverhampton (Metropolitan borough)","E08000031","76.4"
"Worcestershire","Worcestershire (County)","E10000034","86.6"
"York","York (Unitary)","E06000014","86.0"
